from,to,trans,req_min,req_min+walk,price,cost_performance
西白井,日本橋(東京都),0,42,51,3.3,1443.935846215228
西白井,八丁堀,1,48,51,3.3,1443.935846215228
熊谷,東京,0,38,50,3.5,1492.9939555125081
八千代緑が丘,八丁堀,1,51,54,3.2,1495.3649584492175
八千代台,宝町,0,55,58,3.1,1552.5232863369076
船橋日大前,八丁堀,1,49,52,3.5,1567.6373650090904
新田,八丁堀,0,48,51,3.6,1574.6590322927013
八千代台,東京,1,48,60,3.1,1595.9558906284285
新田,宝町,1,49,52,3.6,1612.2520444820054
飯山満,茅場町,0,43,52,3.6,1612.2520444820054
小室,宝町,0,48,51,3.7,1618.233427651859
印西牧の原,宝町,0,56,59,3.2,1625.5287112227995
八千代緑が丘,茅場町,0,51,60,3.2,1647.2436980777352
飯山満,宝町,1,50,53,3.6,1648.2143718569469
鎌ヶ谷大仏,宝町,1,49,52,3.7,1656.8667239549204
成田湯川,宝町,0,54,57,3.4,1677.085538725951
天王台,東京,0,44,56,3.5,1697.7547680209184
馬橋,東京,1,38,50,4.0,1706.2788063000094
羽沢横浜国大,東京,1,38,50,4.0,1706.2788063000094
北習志野,茅場町,0,48,57,3.5,1726.2132598488822
取手,東京,0,48,60,3.4,1750.8249562596686
船橋日大前,茅場町,0,49,58,3.5,1753.0697725997093
高根公団,宝町,1,55,58,3.5,1753.0697725997093
小室,八丁堀,1,52,55,3.7,1762.5955263386784
五香,宝町,1,52,55,3.7,1762.5955263386784
薬園台,東京,1,45,57,3.6,1775.3409809718137
習志野,東京,1,47,59,3.5,1778.356196893319
北習志野,宝町,1,56,59,3.5,1778.356196893319
増尾,宝町,1,56,59,3.5,1778.356196893319
天王台,八丁堀,1,56,59,3.5,1778.356196893319
高根木戸,宝町,1,56,59,3.5,1778.356196893319
新松戸,八丁堀,0,49,52,4.0,1791.5855600103891
新松戸,宝町,1,49,52,4.0,1791.5855600103891
常盤平,東京,1,43,55,3.8,1810.9878005570583
二和向台,宝町,1,50,53,4.0,1831.548037744453
初富,日本橋(東京都),1,44,53,4.0,1831.548037744453
浜野,新富町,1,48,56,3.8,1843.6555683977163
三咲,宝町,1,52,55,3.9,1858.4494541173922
大宮公園,東京,1,42,54,4.0,1869.662658671549
逆井,宝町,1,54,57,3.8,1874.5597118671456
浜野,東京,0,45,57,3.8,1874.5597118671456
千葉ニュータウン中央,宝町,0,47,50,4.4,1876.2401717712994
我孫子,東京,0,41,53,4.1,1878.0521871403082
新整備場,日本橋(東京都),1,43,52,4.2,1880.8149189562191
土呂,東京,0,39,51,4.3,1881.3885996248118
新柏,東京,1,46,58,3.8,1903.7242061824968
印旛日本医大,宝町,0,52,55,4.0,1905.9111076777262
元山,宝町,1,51,54,4.1,1917.1345621143814
草加,茅場町,0,41,50,4.5,1919.5636570875106
東船橋,日本橋(東京都),0,41,50,4.5,1919.5636570875106
柏,八丁堀,1,48,51,4.4,1924.1085950749666
滝不動,宝町,1,53,56,4.0,1940.2911634524783
我孫子,八丁堀,1,52,55,4.1,1954.303381896106
北小金,東京,1,42,54,4.2,1962.7806231171046
草加,日本橋(東京都),1,42,51,4.5,1968.5373903431273
東船橋,宝町,1,48,51,4.5,1968.5373903431273
幕張本郷,東京,1,39,51,4.5,1968.5373903431273
南柏,東京,1,45,57,4.0,1972.8151541130082
印旛日本医大,八丁堀,1,55,58,4.0,2003.508311542525
新芝浦,東京,1,46,58,4.0,2003.508311542525
新子安,日本橋(東京都),1,41,50,4.7,2004.5443398231555
東大宮,東京,0,42,54,4.3,2010.252526559937
千葉ニュータウン中央,八丁堀,1,50,53,4.4,2013.9873930666545
二俣新町,銀座一丁目,1,41,52,4.5,2015.5337550116878
蒲生,八丁堀,0,49,52,4.5,2015.5337550116878
宮原,東京,0,44,56,4.2,2036.9267585072403
船橋法典,日本橋(東京都),1,41,50,4.8,2047.8678251393667
大町,宝町,0,47,50,4.8,2047.8678251393667
京成大久保,宝町,1,55,58,4.1,2054.3786397652843
市川大野,日本橋(東京都),1,42,51,4.7,2055.6861810614428
京急新子安,東京,0,41,53,4.5,2060.4915424625096
白井,八丁堀,1,50,53,4.5,2060.4915424625096
京成幕張本郷,東京,1,41,53,4.5,2060.4915424625096
白井,日本橋(東京都),0,44,53,4.5,2060.4915424625096
馬込沢,八丁堀,1,50,53,4.5,2060.4915424625096
