0,1,2,3,4
JR上越線,井野,八丁堀,2,92
JR上野東京ライン,品川,八丁堀,1,20
JR上野東京ライン,新橋,八丁堀,1,9
JR上野東京ライン,東京,八丁堀,0,2
JR上野東京ライン,上野,八丁堀,0,12
JR両毛線,井野,八丁堀,2,92
JR中央・総武線各駅停車,三鷹,八丁堀,1,46
JR中央・総武線各駅停車,吉祥寺,八丁堀,1,43
JR中央・総武線各駅停車,西荻窪,八丁堀,1,41
JR中央・総武線各駅停車,荻窪,八丁堀,1,38
JR中央・総武線各駅停車,阿佐ケ谷,八丁堀,1,36
JR中央・総武線各駅停車,高円寺,八丁堀,1,34
JR中央・総武線各駅停車,中野,八丁堀,1,31
JR中央・総武線各駅停車,東中野,八丁堀,1,40
JR中央・総武線各駅停車,大久保,八丁堀,1,37
JR中央・総武線各駅停車,新宿,八丁堀,1,29
JR中央・総武線各駅停車,代々木,八丁堀,1,32
JR中央・総武線各駅停車,千駄ケ谷,八丁堀,1,30
JR中央・総武線各駅停車,信濃町,八丁堀,1,28
JR中央・総武線各駅停車,四ツ谷,八丁堀,1,20
JR中央・総武線各駅停車,市ケ谷,八丁堀,1,23
JR中央・総武線各駅停車,飯田橋,八丁堀,1,15
JR中央・総武線各駅停車,水道橋,八丁堀,1,19
JR中央・総武線各駅停車,御茶ノ水,八丁堀,1,16
JR中央・総武線各駅停車,秋葉原,八丁堀,0,8
JR中央・総武線各駅停車,浅草橋,八丁堀,1,11
JR中央・総武線各駅停車,両国,八丁堀,1,19
JR中央・総武線各駅停車,錦糸町,八丁堀,0,38
JR中央・総武線各駅停車,亀戸,八丁堀,0,42
JR中央・総武線各駅停車,平井,八丁堀,1,27
JR中央・総武線各駅停車,新小岩,八丁堀,1,30
JR中央・総武線各駅停車,小岩,八丁堀,1,34
JR中央・総武線各駅停車,市川,八丁堀,1,37
JR中央・総武線各駅停車,本八幡,八丁堀,1,36
JR中央・総武線各駅停車,下総中山,八丁堀,1,34
JR中央・総武線各駅停車,西船橋,八丁堀,0,27
JR中央・総武線各駅停車,船橋,八丁堀,1,37
JR中央・総武線各駅停車,東船橋,八丁堀,1,36
JR中央・総武線各駅停車,津田沼,八丁堀,1,42
JR中央・総武線各駅停車,幕張本郷,八丁堀,1,49
JR中央・総武線各駅停車,幕張,八丁堀,1,52
JR中央・総武線各駅停車,新検見川,八丁堀,1,54
JR中央・総武線各駅停車,稲毛,八丁堀,1,57
JR中央・総武線各駅停車,西千葉,八丁堀,1,59
JR中央・総武線各駅停車,千葉,八丁堀,1,57
JR中央本線,東京,八丁堀,0,2
JR中央本線,新宿,八丁堀,1,29
JR中央本線,三鷹,八丁堀,1,46
JR中央本線,日野,八丁堀,1,76
JR中央本線,豊田,八丁堀,1,79
JR中央本線,八王子,八丁堀,1,84
JR中央本線,西八王子,八丁堀,1,88
JR中央本線,相模湖,八丁堀,1,92
JR中央本線,藤野,八丁堀,1,95
JR中央本線,上野原,八丁堀,1,99
JR中央本線,四方津,八丁堀,1,104
JR中央線,東京,八丁堀,0,2
JR中央線,神田,八丁堀,1,16
JR中央線,御茶ノ水,八丁堀,1,16
JR中央線,四ツ谷,八丁堀,1,20
JR中央線,新宿,八丁堀,1,29
JR中央線,中野,八丁堀,1,31
JR中央線,高円寺,八丁堀,1,34
JR中央線,阿佐ケ谷,八丁堀,1,36
JR中央線,荻窪,八丁堀,1,38
JR中央線,西荻窪,八丁堀,1,41
JR中央線,吉祥寺,八丁堀,1,43
JR中央線,三鷹,八丁堀,1,46
JR中央線,武蔵境,八丁堀,1,54
JR中央線,東小金井,八丁堀,1,57
JR中央線,武蔵小金井,八丁堀,1,60
JR中央線,国分寺,八丁堀,1,63
JR中央線,西国分寺,八丁堀,1,66
JR中央線,国立,八丁堀,1,69
JR中央線,日野,八丁堀,1,76
JR中央線,豊田,八丁堀,1,79
JR中央線,八王子,八丁堀,1,84
JR中央線,西八王子,八丁堀,1,88
JR五日市線,拝島,八丁堀,1,86
JR五日市線,熊川,八丁堀,2,93
JR五日市線,東秋留,八丁堀,2,95
JR五日市線,秋川,八丁堀,2,100
JR五日市線,武蔵引田,八丁堀,2,102
JR五日市線,武蔵増戸,八丁堀,2,104
JR京浜東北線,大宮,八丁堀,1,46
JR京浜東北線,さいたま新都心,八丁堀,1,47
JR京浜東北線,与野,八丁堀,1,61
JR京浜東北線,北浦和,八丁堀,1,59
JR京浜東北線,浦和,八丁堀,1,42
JR京浜東北線,南浦和,八丁堀,0,80
JR京浜東北線,蕨,八丁堀,1,48
JR京浜東北線,西川口,八丁堀,1,45
JR京浜東北線,川口,八丁堀,1,42
JR京浜東北線,赤羽,八丁堀,1,33
JR京浜東北線,東十条,八丁堀,1,36
JR京浜東北線,王子,八丁堀,1,33
JR京浜東北線,上中里,八丁堀,1,31
JR京浜東北線,田端,八丁堀,1,28
JR京浜東北線,西日暮里,八丁堀,1,25
JR京浜東北線,日暮里,八丁堀,1,24
JR京浜東北線,鶯谷,八丁堀,1,22
JR京浜東北線,上野,八丁堀,0,12
JR京浜東北線,御徒町,八丁堀,0,16
JR京浜東北線,秋葉原,八丁堀,0,8
JR京浜東北線,神田,八丁堀,1,16
JR京浜東北線,東京,八丁堀,0,2
JR京浜東北線,有楽町,八丁堀,0,14
JR京浜東北線,新橋,八丁堀,1,9
JR京浜東北線,浜松町,八丁堀,1,21
JR京浜東北線,田町,八丁堀,1,23
JR京浜東北線,高輪ゲートウェイ,八丁堀,1,25
JR京浜東北線,品川,八丁堀,1,20
JR京浜東北線,大井町,八丁堀,1,32
JR京浜東北線,大森,八丁堀,1,35
JR京浜東北線,蒲田,八丁堀,1,38
JR京浜東北線,川崎,八丁堀,1,35
JR京浜東北線,鶴見,八丁堀,1,47
JR京浜東北線,新子安,八丁堀,1,51
JR京浜東北線,東神奈川,八丁堀,1,54
JR京浜東北線,横浜,八丁堀,1,45
JR京浜東北線,桜木町,八丁堀,1,61
JR京浜東北線,関内,八丁堀,1,63
JR京浜東北線,石川町,八丁堀,1,65
JR京浜東北線,山手,八丁堀,1,67
JR京浜東北線,根岸,八丁堀,1,70
JR京浜東北線,磯子,八丁堀,1,78
JR京浜東北線,新杉田,八丁堀,1,78
JR京浜東北線,洋光台,八丁堀,1,81
JR京浜東北線,港南台,八丁堀,1,84
JR京浜東北線,本郷台,八丁堀,1,87
JR京浜東北線,大船,八丁堀,1,62
JR京葉線,東京,八丁堀,0,2
JR京葉線,越中島,八丁堀,0,2
JR京葉線,潮見,八丁堀,0,5
JR京葉線,新木場,八丁堀,0,7
JR京葉線,葛西臨海公園,八丁堀,0,11
JR京葉線,舞浜,八丁堀,0,14
JR京葉線,新浦安,八丁堀,0,18
JR京葉線,市川塩浜,八丁堀,0,21
JR京葉線,二俣新町,八丁堀,0,26
JR京葉線,南船橋,八丁堀,0,32
JR京葉線,新習志野,八丁堀,0,33
JR京葉線,海浜幕張,八丁堀,0,38
JR京葉線,検見川浜,八丁堀,0,41
JR京葉線,稲毛海岸,八丁堀,0,43
JR京葉線,千葉みなと,八丁堀,0,47
JR京葉線,蘇我,八丁堀,0,37
JR信越本線（群馬県）,群馬八幡,八丁堀,2,90
JR八高線,八王子,八丁堀,1,84
JR八高線,小宮,八丁堀,2,98
JR八高線,拝島,八丁堀,1,86
