from,to,trans,req_min,req_min+walk,price,cost_performance
西白井,宝町,0,44,47,3.3,1292.234989577037
二俣新町,東京,0,28,40,4.5,1350.0
飯山満,八丁堀,1,43,46,3.6,1364.5667412745727
新整備場,宝町,1,40,43,4.2,1428.8082957137422
浜野,八丁堀,0,43,46,3.8,1440.8284745091255
北習志野,八丁堀,1,46,49,3.5,1453.429959033755
京成金町,宝町,1,37,40,4.9,1469.53125
矢切,宝町,0,37,40,5.1,1530.9307071342741
柴又,日本橋(東京都),1,32,41,4.9,1535.61555536465
蘇我,八丁堀,0,37,40,5.3,1594.3671903163026
原木中山,日本橋(東京都),0,32,41,5.1,1599.776124570876
市川塩浜,銀座一丁目,1,31,42,5.0,1634.6366771207402
津田沼,東京,0,30,42,5.0,1634.6366771207402
東船橋,東京,1,33,45,4.5,1648.7259316628993
片倉町,東京,1,33,45,4.5,1648.7259316628993
新子安,宝町,1,41,44,4.7,1660.8179113419706
初富,宝町,1,46,49,4.0,1661.0628103242916
堀切菖蒲園,東京,1,29,41,5.3,1666.0653241724162
下総中山,東京,1,29,41,5.3,1666.0653241724162
金町,宝町,1,40,43,4.9,1666.7214910000305
原木中山,宝町,1,39,42,5.1,1668.34365600805
谷塚,八丁堀,0,40,43,5.0,1701.2787148963628
草加,八丁堀,0,43,46,4.5,1705.8935278874744
葛西,新富町,1,32,40,5.7,1733.0167682562237
鎌取,八丁堀,0,45,48,4.3,1735.6413885740726
北国分,宝町,0,40,43,5.1,1736.3598840191853
松戸,八丁堀,1,38,41,5.5,1736.3752976032429
一之江,東京,1,29,41,5.5,1736.3752976032429
船橋法典,東京,0,33,45,4.8,1758.927230914673
草加,宝町,1,44,47,4.5,1761.72154792041
谷塚,宝町,1,41,44,5.0,1767.1213021759952
船堀,八丁堀,1,37,40,5.8,1771.0488529069526
柏,東京,0,36,48,4.4,1775.0519559803865
南船橋,東京,0,34,46,4.7,1781.4148559449927
浦安,新富町,1,35,43,5.3,1808.3086430761628
川口,東京,0,31,43,5.3,1808.3086430761628
綾瀬,茅場町,1,31,40,5.9,1808.7107888758276
青井,茅場町,1,31,40,5.9,1808.7107888758276
竹ノ塚,八丁堀,0,37,40,5.9,1808.7107888758276
鶴見,宝町,1,37,40,5.9,1808.7107888758276
京成小岩,日本橋(東京都),1,31,40,5.9,1808.7107888758276
新柴又,日本橋(東京都),0,33,42,5.5,1810.797565804726
六町,茅場町,1,33,42,5.5,1810.797565804726
西葛西,銀座一丁目,1,30,41,5.7,1810.9499250472095
二俣新町,新富町,1,40,48,4.5,1816.0389460829533
東船橋,茅場町,0,39,48,4.5,1816.0389460829533
京急新子安,宝町,1,45,48,4.5,1816.0389460829533
保土ケ谷,宝町,1,43,46,4.8,1819.9159251507865
津田沼,八丁堀,1,42,45,5.0,1831.917701847666
戸田公園,東京,1,33,45,5.0,1831.917701847666
市川大野,宝町,1,44,47,4.7,1839.7144289481364
南船橋,新富町,1,39,47,4.7,1839.7144289481364
新小岩,銀座一丁目,1,29,40,6.0,1849.0497110137494
市川,八丁堀,1,37,40,6.0,1849.0497110137494
亀有,八丁堀,1,37,40,6.0,1849.0497110137494
梅島,日本橋(東京都),1,31,40,6.0,1849.0497110137494
扇大橋,東京,1,30,42,5.6,1849.8731925517623
東松戸,日本橋(東京都),0,32,41,5.8,1850.6922992176153
白井,宝町,0,46,49,4.5,1868.695661614828
矢切,八丁堀,1,42,45,5.1,1869.6927084676279
検見川浜,八丁堀,0,41,44,5.3,1878.2934836656186
新八柱,宝町,1,44,47,4.8,1879.4755055505068
新柴又,八丁堀,1,40,43,5.5,1884.6214567484446
鬼越,宝町,1,40,43,5.5,1884.6214567484446
お花茶屋,東京,1,31,43,5.5,1884.6214567484446
竹ノ塚,宝町,1,38,41,5.9,1890.0478792496506
西新井,茅場町,0,31,40,6.1,1890.617994956197
八幡宿,八丁堀,0,46,49,4.6,1910.8710845332182
浮間舟渡,東京,1,30,42,5.8,1930.0142746228796
八潮,八丁堀,1,39,42,5.8,1930.0142746228796
船橋,八丁堀,1,37,40,6.2,1931.7817140253403
王子神谷,東京,1,28,40,6.2,1931.7817140253403
五反野,東京,1,28,40,6.2,1931.7817140253403
東尾久三丁目,八丁堀,1,38,41,6.0,1932.2008285806949
瑞江,日本橋(東京都),1,32,41,6.0,1932.2008285806949
京成八幡,八丁堀,1,38,41,6.0,1932.2008285806949
小岩,茅場町,1,32,41,6.0,1932.2008285806949
西川口,東京,0,34,46,5.1,1934.522062921891
船橋法典,茅場町,1,39,48,4.8,1937.4234936944006
保土ケ谷,東京,0,36,48,4.8,1937.4234936944006
新八柱,八丁堀,0,45,48,4.8,1937.4234936944006
神奈川新町,宝町,0,42,45,5.3,1947.166319457041
川口,八丁堀,1,42,45,5.3,1947.166319457041
新子安,東京,0,37,49,4.7,1951.424375800901
京成中山,宝町,1,41,44,5.5,1957.559742326529
北綾瀬,八丁堀,1,39,42,5.9,1971.0566625336103
行徳,新富町,1,38,46,5.2,1973.2264782676993
海浜幕張,八丁堀,0,38,41,6.1,1975.6384236858262
西船橋,茅場町,0,31,40,6.3,1975.8713237525133
梅ヶ丘,八丁堀,1,37,40,6.3,1975.8713237525133
上本郷,東京,1,36,48,4.9,1976.8340611007147
三ツ沢上町,東京,1,36,48,4.9,1976.8340611007147
十日市場,東京,1,36,48,4.9,1976.8340611007147
北松戸,東京,1,36,48,4.9,1976.8340611007147
青砥,東京,1,33,45,5.4,1986.842624204846
中山,東京,1,33,45,5.4,1986.842624204846
北初富,宝町,1,46,49,4.8,1993.5997987192914
四ツ木,新富町,1,35,43,5.8,2008.6984776614786
南行徳,新富町,1,38,46,5.3,2014.681978545717
京成高砂,東京,1,36,48,5.0,2017.8210512032815
千川,銀座一丁目,0,30,41,6.2,2018.6532607770666
本蓮沼,茅場町,1,32,41,6.2,2018.6532607770666
志村坂上,日本橋(東京都),1,32,41,6.2,2018.6532607770666
千川,日本橋(東京都),1,32,41,6.2,2018.6532607770666
王子,茅場町,1,31,40,6.4,2019.5318297091762
板橋本町,八丁堀,1,37,40,6.4,2019.5318297091762
小田原,東京,0,35,47,5.2,2037.8033850660202
氷川台,新富町,0,36,44,5.7,2041.633898809182
氷川台,東京,1,32,44,5.7,2041.633898809182
東中山,宝町,1,43,46,5.4,2055.7340116216487
西川口,八丁堀,1,45,48,5.1,2059.429472526043
北国分,八丁堀,1,45,48,5.1,2059.429472526043
西新井,日本橋(東京都),1,33,42,6.1,2060.3156779865826
武蔵小杉,銀座一丁目,1,30,41,6.3,2064.725564803948
多摩川,宝町,1,38,41,6.3,2064.725564803948
鴨居,東京,1,29,41,6.3,2064.725564803948
小竹向原,東京,1,28,40,6.5,2066.2956963288757
新板橋,新富町,1,32,40,6.5,2066.2956963288757
八広,新富町,1,32,40,6.5,2066.2956963288757
雪が谷大塚,宝町,1,37,40,6.5,2066.2956963288757
新板橋,東京,0,28,40,6.5,2066.2956963288757
浦和,日本橋(東京都),1,36,45,5.6,2073.1306809890693
成増,東京,1,33,45,5.6,2073.1306809890693
蕨,東京,0,37,49,5.0,2076.3285129053643
谷在家,東京,1,37,49,5.0,2076.3285129053643
戸田,東京,1,35,47,5.3,2080.615581094483
東松戸,茅場町,1,35,44,5.8,2086.4387701108244
江戸川,宝町,1,40,43,6.0,2097.1659440886415
堀切,日本橋(東京都),1,34,43,6.0,2097.1659440886415
大師前,八丁堀,1,40,43,6.0,2097.1659440886415
葛西臨海公園,日本橋(東京都),1,37,46,5.5,2099.703996787095
熊野前,八丁堀,1,39,42,6.2,2105.174161291327
新川崎,日本橋(東京都),1,31,40,6.6,2114.4847302164962
東長崎,東京,1,28,40,6.6,2114.4847302164962
京成西船,八丁堀,0,37,40,6.6,2114.4847302164962
鹿島田,宝町,1,37,40,6.6,2114.4847302164962
町屋二丁目,八丁堀,1,37,40,6.6,2114.4847302164962
三郷中央,八丁堀,1,42,45,5.7,2116.4960635782736
秋山,宝町,0,42,45,5.7,2116.4960635782736
北戸田,東京,1,37,49,5.1,2119.143385670177
豪徳寺,八丁堀,1,39,42,6.3,2153.2211567179775
東海神,八丁堀,1,39,42,6.3,2153.2211567179775
町屋駅前,新富町,1,33,41,6.5,2159.2162897288863
町屋,新富町,1,33,41,6.5,2159.2162897288863
小竹向原,新富町,0,33,41,6.5,2159.2162897288863
川崎,銀座一丁目,1,30,41,6.5,2159.2162897288863
西ケ原,銀座一丁目,1,30,41,6.5,2159.2162897288863
流通センター,日本橋(東京都),1,32,41,6.5,2159.2162897288863
高島平,日本橋(東京都),1,40,49,5.2,2161.541561089494
和光市,東京,1,37,49,5.2,2161.541561089494
荻窪,日本橋(東京都),0,31,40,6.7,2162.2047625351224
京成立石,新富町,1,37,45,5.8,2162.9438296514995
西台,日本橋(東京都),1,38,47,5.5,2168.4200771752007
京成八幡,日本橋(東京都),0,35,44,6.0,2178.3300887431765
稲毛海岸,八丁堀,0,43,46,5.7,2189.88302865834
篠崎,日本橋(東京都),1,34,43,6.2,2190.9994079315493
武蔵中原,東京,1,31,43,6.2,2190.9994079315493
経堂,八丁堀,1,39,42,6.4,2200.800532970251
鶴見,東京,0,33,45,5.9,2208.9395411096566
矢向,東京,1,29,41,6.6,2209.5723675842055
阿佐ケ谷,宝町,1,37,40,6.8,2213.3167040378394
大森町,日本橋(東京都),1,31,40,6.8,2213.3167040378394
阿佐ケ谷,茅場町,0,31,40,6.8,2213.3167040378394
西新井大師西,東京,1,35,47,5.6,2215.2129242424667
海神,八丁堀,1,41,44,6.1,2227.3008887762426
