from,to,trans,req_min,req_min+walk,price,cost_performance
新浦安,八丁堀,0,18,21,5.2,478.34878038717403
西葛西,八丁堀,1,19,22,5.7,572.605620475856
市川塩浜,八丁堀,0,21,24,5.0,574.6360456844025
葛西,八丁堀,1,21,24,5.7,663.9026018770127
西葛西,茅場町,0,15,24,5.7,663.9026018770127
葛西臨海公園,東京,0,13,25,5.5,684.1695895110528
京成曳舟,宝町,0,18,21,6.9,693.50422863518
二俣新町,八丁堀,0,26,29,4.5,731.4626096568725
八広,宝町,0,20,23,6.5,735.5751738276707
入谷,宝町,1,17,20,7.5,740.4919993625712
南砂町,茅場町,0,11,20,7.5,740.4919993625712
浦安,八丁堀,1,24,27,5.3,755.2676315759712
舞浜,東京,0,16,28,5.0,760.5180499870136
葛西,茅場町,0,17,26,5.7,765.902921128858
青砥,宝町,0,24,27,5.4,770.6572921391825
四ツ木,宝町,0,23,26,5.8,782.7111166778965
三ノ輪,八丁堀,0,18,21,7.5,799.5463847680935
尾久,東京,0,12,24,6.6,810.0394293544387
新小岩,東京,0,14,26,6.0,817.1834231026434
東陽町,宝町,1,17,20,8.0,836.514436858027
根津,日本橋(東京都),1,13,22,7.4,841.6385394350186
葛西臨海公園,茅場町,1,19,28,5.5,842.4772629553082
平井,宝町,1,23,26,6.2,853.7466485359306
上野,茅場町,0,11,20,8.1,857.8139259497515
本所吾妻橋,日本橋(東京都),0,11,20,8.1,857.8139259497515
入谷,茅場町,0,13,22,7.5,862.4037099594703
三ノ輪,宝町,1,19,22,7.5,862.4037099594703
浦安,茅場町,0,20,29,5.3,863.8666561333765
南行徳,八丁堀,1,26,29,5.3,863.8666561333765
錦糸町,宝町,1,18,21,7.9,880.9086617399582
錦糸町,東京,0,9,21,7.9,880.9086617399582
千駄木,日本橋(東京都),1,15,24,7.0,888.0591461787482
京成立石,宝町,0,25,28,5.8,897.9430800296885
清澄白河,日本橋(東京都),1,11,20,8.4,923.8690659910162
田原町,宝町,1,17,20,8.4,923.8690659910162
戸越,宝町,0,18,21,8.1,926.2247585217007
潮見,茅場町,1,13,22,7.8,927.6873683998804
亀戸,宝町,1,20,23,7.5,929.1639816326658
南砂町,宝町,1,20,23,7.5,929.1639816326658
立会川,宝町,0,20,23,7.5,929.1639816326658
稲荷町,日本橋(東京都),0,11,20,8.5,947.8307591976011
菊川,宝町,1,18,21,8.2,949.9237729787257
鶯谷,東京,0,11,23,7.6,952.2184471629381
南千住,八丁堀,0,20,23,7.7,975.0485342478728
京成上野,八丁堀,0,20,23,7.7,975.0485342478728
馬喰横山,東京,0,9,21,8.4,997.5478092242157
神楽坂,宝町,1,17,20,8.7,997.9671575294243
神楽坂,日本橋(東京都),0,11,20,8.7,997.9671575294243
浅草,茅場町,1,13,22,8.1,999.041060309607
築地市場,茅場町,1,13,22,8.1,999.041060309607
西大井,宝町,1,20,23,7.8,999.5013692291191
三河島,東京,0,12,24,7.5,999.9064739089872
京成曳舟,八丁堀,1,23,26,6.9,1000.5393764912003
武蔵小杉,宝町,1,25,28,6.3,1001.7905374436804
新小岩,宝町,1,26,29,6.0,1001.8597977802985
青物横丁,宝町,0,18,21,8.5,1023.4204522679477
平和島,宝町,0,23,26,7.0,1024.4983108523847
八広,八丁堀,1,25,28,6.5,1047.63678244573
馬込,宝町,0,22,25,7.4,1048.8095104918827
御徒町,宝町,1,17,20,8.9,1049.098716021567
蔵前,茅場町,1,11,20,8.9,1049.098716021567
南千住,宝町,1,21,24,7.7,1049.2844761984702
東大島,宝町,1,26,29,6.3,1070.574810976439
北千住,八丁堀,0,23,26,7.2,1073.6362283938308
日暮里,東京,0,13,25,7.5,1074.6860683163977
両国,日本橋(東京都),1,13,22,8.4,1075.9712606122662
田原町,日本橋(東京都),0,13,22,8.4,1075.9712606122662
新御茶ノ水,茅場町,1,11,20,9.0,1076.8768857322914
水道橋,日本橋(東京都),1,11,20,9.0,1076.8768857322914
後楽園,東京,0,9,21,8.7,1077.5552384182495
西日暮里,東京,0,15,27,7.0,1098.1276062378015
鶯谷,八丁堀,1,22,25,7.6,1101.3512355071543
西大島,宝町,1,22,25,7.6,1101.3512355071543
中延,宝町,0,21,24,7.9,1101.6575030250033
茗荷谷,東京,0,12,24,7.9,1101.6575030250033
春日,日本橋(東京都),1,13,22,8.5,1103.8779133999506
稲荷町,宝町,1,19,22,8.5,1103.8779133999506
馬喰町,日本橋(東京都),0,13,22,8.5,1103.8779133999506
本郷三丁目,日本橋(東京都),1,13,22,8.5,1103.8779133999506
勝どき,銀座一丁目,1,9,20,9.1,1105.5016179943211
湯島,日本橋(東京都),1,11,20,9.1,1105.5016179943211
京成上野,宝町,1,22,25,7.7,1127.756882964041
新御徒町,八丁堀,1,19,22,8.6,1132.6350443663039
新日本橋,日本橋(東京都),0,11,20,9.2,1134.9987124971517
新日本橋,宝町,1,17,20,9.2,1134.9987124971517
西馬込,宝町,0,25,28,6.9,1147.8403593278922
高田馬場,日本橋(東京都),0,17,26,7.5,1153.5295795759198
高田馬場,宝町,1,23,26,7.5,1153.5295795759198
西大井,東京,0,13,25,7.8,1156.0394268472094
本所吾妻橋,茅場町,1,15,24,8.1,1158.3294602842348
森下,日本橋(東京都),1,14,23,8.4,1159.2641927291763
日比谷,東京,0,10,22,8.7,1162.2685725327838
青山一丁目,宝町,1,18,21,9.0,1162.7580332653863
