line,from,to,trans,req_min,req_min+walk
JR山手線,新大久保,宝町,1,40,43
JR山手線,高田馬場,宝町,1,23,26
JR山手線,目白,宝町,1,41,44
JR山手線,池袋,宝町,1,38,41
JR山手線,大塚,宝町,1,36,39
JR山手線,巣鴨,宝町,1,34,37
JR山手線,駒込,宝町,1,32,35
JR山手線,田端,宝町,1,29,32
JR山手線,西日暮里,宝町,1,30,33
JR山手線,日暮里,宝町,1,28,31
JR山手線,鶯谷,宝町,1,26,29
JR山手線,上野,宝町,1,14,17
JR山手線,御徒町,宝町,1,17,20
JR山手線,秋葉原,宝町,1,10,13
JR山手線,神田,宝町,1,11,14
JR山手線,東京,宝町,1,13,16
JR山手線,有楽町,宝町,1,11,14
JR山手線,新橋,宝町,0,3,6
JR山手線,浜松町,宝町,0,15,18
JR山手線,田町,宝町,0,18,21
JR山手線,高輪ゲートウェイ,宝町,0,19,22
JR山手線,品川,宝町,0,15,18
JR川越線,大宮,宝町,1,53,56
JR常磐線,柏,宝町,1,56,59
JR常磐線,松戸,宝町,1,45,48
JR常磐線,北千住,宝町,1,25,28
JR常磐線,南千住,宝町,1,21,24
JR常磐線,三河島,宝町,1,29,32
JR常磐線,日暮里,宝町,1,28,31
JR常磐線,上野,宝町,1,14,17
JR常磐線各駅停車,亀有,宝町,1,45,48
JR常磐線各駅停車,金町,宝町,1,40,43
JR常磐線各駅停車,松戸,宝町,1,45,48
JR常磐線各駅停車,新松戸,宝町,1,49,52
JR常磐線各駅停車,柏,宝町,1,56,59
JR東海道線,東京,宝町,1,13,16
JR東海道線,新橋,宝町,0,3,6
JR東海道線,品川,宝町,0,15,18
JR東海道線,川崎,宝町,0,41,44
JR東海道線,横浜,宝町,0,47,50
JR東海道線,戸塚,宝町,1,47,50
JR東海道線,大船,宝町,1,53,56
JR東海道線,藤沢,宝町,1,54,57
JR東海道線,小田原,宝町,1,53,56
JR根岸線,大船,宝町,1,53,56
JR根岸線,石川町,宝町,1,57,60
JR根岸線,関内,宝町,1,55,58
JR根岸線,桜木町,宝町,1,52,55
JR根岸線,横浜,宝町,0,47,50
JR横浜線,新横浜,宝町,1,39,42
JR横浜線,東神奈川,宝町,1,44,47
JR横須賀線,東京,宝町,1,13,16
JR横須賀線,新橋,宝町,0,3,6
JR横須賀線,品川,宝町,0,15,18
JR横須賀線,西大井,宝町,1,20,23
JR横須賀線,武蔵小杉,宝町,1,25,28
JR横須賀線,新川崎,宝町,1,29,32
JR横須賀線,横浜,宝町,0,47,50
JR横須賀線,保土ケ谷,宝町,1,43,46
JR横須賀線,東戸塚,宝町,1,47,50
JR横須賀線,戸塚,宝町,1,47,50
JR横須賀線,大船,宝町,1,53,56
JR武蔵野線,南浦和,宝町,1,56,59
JR武蔵野線,南越谷,宝町,1,55,58
JR武蔵野線,新三郷,宝町,1,57,60
JR武蔵野線,南流山,宝町,1,52,55
JR武蔵野線,新松戸,宝町,1,49,52
JR武蔵野線,新八柱,宝町,1,44,47
JR武蔵野線,東松戸,宝町,0,34,37
JR武蔵野線,市川大野,宝町,1,44,47
JR武蔵野線,船橋法典,宝町,1,52,55
JR武蔵野線,西船橋,宝町,1,40,43
JR湘南新宿ライン（宇都宮線・横須賀線）,大宮,宝町,1,53,56
JR湘南新宿ライン（宇都宮線・横須賀線）,浦和,宝町,1,45,48
JR湘南新宿ライン（宇都宮線・横須賀線）,赤羽,宝町,1,36,39
JR湘南新宿ライン（宇都宮線・横須賀線）,池袋,宝町,1,38,41
JR湘南新宿ライン（宇都宮線・横須賀線）,新宿,宝町,1,28,31
JR湘南新宿ライン（宇都宮線・横須賀線）,渋谷,宝町,1,25,28
JR湘南新宿ライン（宇都宮線・横須賀線）,恵比寿,宝町,1,24,27
JR湘南新宿ライン（宇都宮線・横須賀線）,大崎,宝町,1,23,26
JR湘南新宿ライン（宇都宮線・横須賀線）,西大井駅,宝町,1,20,23
JR湘南新宿ライン（宇都宮線・横須賀線）,武蔵小杉,宝町,1,25,28
JR湘南新宿ライン（宇都宮線・横須賀線）,新川崎,宝町,1,29,32
JR湘南新宿ライン（宇都宮線・横須賀線）,横浜,宝町,0,47,50
JR湘南新宿ライン（高崎線・東海道線）,大宮,宝町,1,53,56
JR湘南新宿ライン（高崎線・東海道線）,浦和,宝町,1,45,48
JR湘南新宿ライン（高崎線・東海道線）,赤羽,宝町,1,36,39
JR湘南新宿ライン（高崎線・東海道線）,池袋,宝町,1,38,41
JR湘南新宿ライン（高崎線・東海道線）,新宿,宝町,1,28,31
JR湘南新宿ライン（高崎線・東海道線）,渋谷,宝町,1,25,28
JR湘南新宿ライン（高崎線・東海道線）,恵比寿,宝町,1,24,27
JR湘南新宿ライン（高崎線・東海道線）,大崎,宝町,1,23,26
JR湘南新宿ライン（高崎線・東海道線）,西大井,宝町,1,20,23
JR湘南新宿ライン（高崎線・東海道線）,武蔵小杉,宝町,1,25,28
JR湘南新宿ライン（高崎線・東海道線）,新川崎,宝町,1,29,32
JR湘南新宿ライン（高崎線・東海道線）,横浜,宝町,0,47,50
JR湘南新宿ライン（高崎線・東海道線）,保土ケ谷,宝町,1,43,46
JR湘南新宿ライン（高崎線・東海道線）,東戸塚,宝町,1,47,50
JR湘南新宿ライン（高崎線・東海道線）,戸塚,宝町,1,47,50
JR湘南新宿ライン（高崎線・東海道線）,大船,宝町,1,53,56
JR相模線,入谷,宝町,1,17,20
JR総武本線,東京,宝町,1,13,16
JR総武本線,新日本橋,宝町,1,17,20
JR総武本線,馬喰町,宝町,0,14,17
JR総武本線,錦糸町,宝町,1,18,21
JR総武本線,新小岩,宝町,1,26,29
JR総武本線,市川,宝町,1,32,35
JR総武本線,船橋,宝町,0,48,51
JR総武本線,津田沼,宝町,1,43,46
JR総武本線,稲毛,宝町,1,51,54
JR総武本線,千葉,宝町,1,55,58
JR総武線快速,東京,宝町,1,13,16
JR総武線快速,新日本橋,宝町,1,17,20
JR総武線快速,馬喰町,宝町,0,14,17
JR総武線快速,錦糸町,宝町,1,18,21
JR総武線快速,新小岩,宝町,1,26,29
JR総武線快速,市川,宝町,1,32,35
JR総武線快速,船橋,宝町,0,48,51
JR総武線快速,津田沼,宝町,1,43,46
JR総武線快速,稲毛,宝町,1,51,54
JR総武線快速,千葉,宝町,1,55,58
JR高崎線,大宮,宝町,1,53,56
JR高崎線,さいたま新都心,宝町,1,50,53
JR高崎線,浦和,宝町,1,45,48
JR高崎線,赤羽,宝町,1,36,39
JR高崎線,尾久,宝町,1,30,33
JR高崎線,上野,宝町,1,14,17
JR鶴見線,鶴見,宝町,1,37,40
つくばエクスプレス,秋葉原,宝町,1,10,13
つくばエクスプレス,新御徒町,宝町,1,22,25
つくばエクスプレス,浅草,宝町,0,11,14
つくばエクスプレス,南千住,宝町,1,21,24
つくばエクスプレス,北千住,宝町,1,25,28
つくばエクスプレス,南流山,宝町,1,52,55
りんかい線,大崎,宝町,1,23,26
りんかい線,大井町,宝町,1,22,25
りんかい線,品川シーサイド,宝町,1,44,47
りんかい線,天王洲アイル,宝町,1,23,26
りんかい線,東京テレポート,宝町,1,34,37
りんかい線,国際展示場,宝町,1,41,44
京急大師線,京急川崎,宝町,0,32,35
京急大師線,港町,宝町,1,42,45
京急大師線,鈴木町,宝町,1,44,47
京急大師線,川崎大師,宝町,1,45,48
京急大師線,東門前,宝町,1,46,49
京急大師線,産業道路,宝町,1,48,51
京急大師線,小島新田,宝町,1,49,52
京急本線,泉岳寺,宝町,0,11,14
京急本線,品川,宝町,0,15,18
京急本線,北品川,宝町,1,21,24
京急本線,新馬場,宝町,1,22,25
京急本線,青物横丁,宝町,0,18,21
京急本線,鮫洲,宝町,1,25,28
京急本線,立会川,宝町,0,20,23
京急本線,大森海岸,宝町,1,31,34
京急本線,平和島,宝町,0,23,26
京急本線,大森町,宝町,1,29,32
京急本線,梅屋敷,宝町,1,31,34
京急本線,京急蒲田,宝町,0,27,30
京急本線,雑色,宝町,1,39,42
京急本線,六郷土手,宝町,1,41,44
京急本線,京急川崎,宝町,0,32,35
京急本線,八丁畷,宝町,1,42,45
京急本線,鶴見市場,宝町,1,43,46
京急本線,京急鶴見,宝町,1,42,45
京急本線,花月園前,宝町,1,50,53
京急本線,生麦,宝町,1,51,54
京急本線,京急新子安,宝町,1,45,48
京急本線,子安,宝町,1,55,58
京急本線,神奈川新町,宝町,0,42,45
京急本線,仲木戸,宝町,1,48,51
京急本線,神奈川,宝町,1,50,53
京急本線,横浜,宝町,0,47,50
京急本線,戸部,宝町,1,54,57
京急本線,日ノ出町,宝町,1,57,60
京急本線,上大岡,宝町,0,57,60
京急空港線,京急蒲田,宝町,0,27,30
京急空港線,糀谷,宝町,0,29,32
京急空港線,大鳥居,宝町,0,31,34
京急空港線,穴守稲荷,宝町,0,33,36
京急空港線,天空橋,宝町,0,35,38
京急空港線,羽田空港第3ターミナル,宝町,1,37,40
京急空港線,羽田空港第1・第2ターミナル,宝町,0,40,43
