from,to,trans,req_min,req_min+walk,price,cost_performance
葛西臨海公園,八丁堀,0,11,14,5.5,291.9983969316391
舞浜,八丁堀,0,14,17,5.0,336.14111567097103
日比谷,八丁堀,0,7,10,8.7,443.03749984800464
浅草橋,宝町,0,7,10,8.8,453.76971049006136
小伝馬町,宝町,1,7,10,9.0,478.06868141837913
日比谷,宝町,1,8,11,8.7,481.9023313945354
門前仲町,茅場町,0,2,11,8.7,481.9023313945354
三越前,日本橋(東京都),0,1,10,9.1,490.7763439095812
新木場,八丁堀,0,7,10,9.1,490.7763439095812
東日本橋,日本橋(東京都),0,3,12,8.5,497.5853304458273
木場,八丁堀,1,9,12,8.5,497.5853304458273
東日本橋,八丁堀,1,9,12,8.5,497.5853304458273
茅場町,日本橋(東京都),0,1,10,9.2,503.87128285894147
人形町,茅場町,0,2,11,9.0,520.0065733064739
馬喰横山,宝町,0,10,13,8.4,526.9854648950869
浅草,宝町,0,11,14,8.1,531.3382016688569
茅場町,宝町,1,8,11,9.2,548.0726710849167
蔵前,宝町,0,9,12,8.9,550.7482493222781
東陽町,八丁堀,1,12,15,8.0,562.2883690774358
上野,八丁堀,0,12,15,8.1,576.6054620717329
秋葉原,八丁堀,0,8,11,9.4,576.695854399897
三越前,宝町,1,9,12,9.1,580.3582364891596
木場,茅場町,0,5,14,8.5,587.0954945396647
八丁堀,茅場町,0,1,10,9.8,588.8175040135437
築地,茅場町,0,3,12,9.2,595.843407626471
月島,新富町,0,2,10,9.9,604.900327891785
小伝馬町,茅場町,0,4,13,9.0,614.2628724706357
本所吾妻橋,宝町,0,13,16,8.1,625.2920785092588
浅草橋,八丁堀,1,11,14,8.8,633.1246370056814
南砂町,八丁堀,1,15,18,7.5,633.3095130009627
入谷,八丁堀,0,15,18,7.5,633.3095130009627
八丁堀,宝町,1,8,11,9.8,640.4706780969703
東陽町,茅場町,0,8,17,8.0,660.7561629929511
水天宮前,八丁堀,0,10,13,9.3,663.4022068435454
門前仲町,新富町,1,7,15,8.7,670.8136771766223
上野,宝町,1,14,17,8.1,677.5804616133306
築地市場,宝町,1,14,17,8.1,677.5804616133306
浅草,八丁堀,1,14,17,8.1,677.5804616133306
秋葉原,宝町,1,10,13,9.4,681.227642591375
神田,日本橋(東京都),0,3,12,9.9,715.3133844031987
辰巳,新富町,0,7,15,9.0,723.8552272330552
清澄白河,八丁堀,1,14,17,8.4,729.7568963005372
馬喰横山,八丁堀,1,14,17,8.4,729.7568963005372
新富町,八丁堀,0,9,12,10.0,734.9114245855081
豊洲,新富町,0,4,12,10.0,734.9114245855081
潮見,東京,0,7,19,7.8,736.9869685438555
馬喰町,東京,0,5,17,8.5,748.6840489764262
新日本橋,東京,0,3,15,9.2,762.9235633423115
蔵前,八丁堀,1,13,16,8.9,764.7265879674546
大手町,日本橋(東京都),0,1,10,10.8,770.3104457240346
大手町,宝町,1,7,10,10.8,770.3104457240346
両国,宝町,1,15,18,8.4,790.1436730755837
本所吾妻橋,八丁堀,1,16,19,8.1,793.6728121655767
泉岳寺,宝町,0,11,14,9.7,801.4267608180139
馬喰町,八丁堀,1,15,18,8.5,810.6370319078247
仲御徒町,八丁堀,0,11,14,9.8,821.5507996083649
越中島,東京,0,4,16,9.2,827.3422505433298
有楽町,新富町,0,3,11,10.8,837.8848287545198
東銀座,日本橋(東京都),0,3,12,10.5,840.4570198568493
竹橋,日本橋(東京都),0,3,12,10.5,840.4570198568493
