line,price,from,to,trans,min,train+walk_min
ＪＲ常磐線,4.2,北柏,大塚,1,50,58
ＪＲ常磐線,4.7,我孫子,大塚,1,40,48
ＪＲ常磐線,3.9,天王台,大塚,1,43,51
ＪＲ常磐線,4.1,取手,大塚,1,47,55
ＪＲ常磐線,2.9,藤代,大塚,1,52,60
ＪＲ常磐線,2.9,龍ケ崎市,大塚,1,55,63
ＪＲ常磐線,3.0,牛久,大塚,1,59,67
ＪＲ常磐線,3.0,ひたち野うしく,大塚,1,62,70
ＪＲ常磐線,3.5,荒川沖,大塚,1,65,73
ＪＲ常磐線,3.9,土浦,大塚,1,71,79
ＪＲ常磐線,3.0,神立,大塚,1,86,94
ＪＲ常磐線,2.5,高浜,大塚,2,778,786
ＪＲ常磐線,2.6,石岡,大塚,1,95,103
ＪＲ常磐線,2.8,羽鳥,大塚,1,100,108
ＪＲ常磐線,2.5,岩間,大塚,1,104,112
ＪＲ常磐線,2.9,友部,大塚,1,108,116
ＪＲ常磐線,2.8,内原,大塚,1,114,122
ＪＲ常磐線,3.5,赤塚,大塚,1,116,124
ＪＲ常磐線,3.8,水戸,大塚,1,109,117
ＪＲ常磐線,4.7,勝田,大塚,1,115,123
ＪＲ常磐線,4.7,佐和,大塚,2,132,140
ＪＲ常磐線,4.1,東海,大塚,1,134,142
ＪＲ常磐線,3.5,大甕,大塚,1,139,147
ＪＲ常磐線,3.5,常陸多賀,大塚,1,129,137
ＪＲ常磐線,3.4,日立,大塚,1,133,141
ＪＲ常磐線,2.8,小木津,大塚,2,142,150
ＪＲ常磐線,3.8,十王,大塚,2,146,154
ＪＲ常磐線,1.9,高萩,大塚,1,144,152
ＪＲ常磐線,1.9,南中郷,大塚,2,155,163
ＪＲ常磐線,3.1,磯原,大塚,1,150,158
ＪＲ常磐線,4.0,大津港,大塚,2,165,173
ＪＲ南武線,6.5,川崎,大塚,1,46,54
ＪＲ南武線,6.8,尻手,大塚,2,53,61
ＪＲ南武線,6.1,八丁畷,大塚,2,56,64
ＪＲ南武線,6.7,川崎新町,大塚,2,71,79
ＪＲ南武線,6.3,小田栄,大塚,2,75,83
ＪＲ南武線,5.5,浜川崎,大塚,2,83,91
ＪＲ南武線,6.2,矢向,大塚,2,52,60
ＪＲ南武線,6.0,鹿島田,大塚,1,46,54
ＪＲ南武線,5.7,平間,大塚,2,47,55
ＪＲ南武線,6.5,向河原,大塚,2,45,53
ＪＲ南武線,6.3,武蔵小杉,大塚,1,35,43
ＪＲ南武線,6.2,武蔵中原,大塚,2,50,58
ＪＲ南武線,6.0,武蔵新城,大塚,2,53,61
ＪＲ南武線,6.9,武蔵溝ノ口,大塚,1,45,53
ＪＲ南武線,6.3,津田山,大塚,2,52,60
ＪＲ南武線,5.5,久地,大塚,2,50,58
ＪＲ南武線,5.3,宿河原,大塚,2,48,56
ＪＲ南武線,5.7,登戸,大塚,1,34,42
ＪＲ南武線,4.8,中野島,大塚,2,42,50
ＪＲ南武線,4.9,稲田堤,大塚,1,55,63
ＪＲ南武線,4.1,矢野口,大塚,2,47,55
ＪＲ南武線,4.1,稲城長沼,大塚,2,49,57
ＪＲ南武線,4.0,南多摩,大塚,2,51,59
ＪＲ南武線,5.2,府中本町,大塚,1,141,149
ＪＲ南武線,5.0,分倍河原,大塚,1,48,56
ＪＲ南武線,4.1,西府,大塚,2,59,67
ＪＲ南武線,5.0,谷保,大塚,2,61,69
ＪＲ南武線,5.3,矢川,大塚,2,59,67
ＪＲ南武線,5.2,西国立,大塚,2,57,65
ＪＲ南武線,5.0,立川,大塚,1,45,53
ＪＲ横浜線,6.1,東神奈川,大塚,1,61,69
ＪＲ横浜線,5.1,大口,大塚,2,65,73
ＪＲ横浜線,6.0,菊名,大塚,1,55,63
ＪＲ横浜線,6.5,新横浜,大塚,1,50,58
ＪＲ横浜線,6.5,小机,大塚,2,58,66
ＪＲ横浜線,6.4,鴨居,大塚,2,61,69
ＪＲ横浜線,5.3,中山,大塚,2,64,72
ＪＲ横浜線,5.0,十日市場,大塚,2,62,70
ＪＲ横浜線,5.5,長津田,大塚,1,58,66
ＪＲ横浜線,6.3,成瀬,大塚,2,56,64
ＪＲ横浜線,4.6,町田,大塚,1,44,52
ＪＲ横浜線,4.3,古淵,大塚,2,56,64
ＪＲ横浜線,3.6,淵野辺,大塚,2,59,67
ＪＲ横浜線,3.6,矢部,大塚,2,61,69
ＪＲ横浜線,3.6,相模原,大塚,2,63,71
ＪＲ横浜線,4.1,橋本,大塚,1,62,70
ＪＲ横浜線,4.2,相原,大塚,2,74,82
ＪＲ横浜線,4.5,八王子みなみ野,大塚,2,78,86
ＪＲ横浜線,4.0,片倉,大塚,1,80,88
ＪＲ横浜線,3.8,八王子,大塚,1,53,61
ＪＲ横須賀線,9.3,東京,大塚,0,21,29
ＪＲ横須賀線,11.4,新橋,大塚,0,26,34
ＪＲ横須賀線,9.1,品川,大塚,0,30,38
ＪＲ横須賀線,7.7,西大井,大塚,1,29,37
ＪＲ横須賀線,6.3,武蔵小杉,大塚,1,35,43
ＪＲ横須賀線,6.0,新川崎,大塚,1,38,46
ＪＲ横須賀線,6.8,横浜,大塚,1,47,55
ＪＲ横須賀線,4.8,保土ケ谷,大塚,1,51,59
ＪＲ横須賀線,5.2,東戸塚,大塚,1,56,64
ＪＲ横須賀線,5.1,戸塚,大塚,1,60,68
ＪＲ横須賀線,5.5,大船,大塚,1,65,73
ＪＲ横須賀線,7.2,北鎌倉,大塚,1,79,87
ＪＲ横須賀線,7.4,鎌倉,大塚,1,82,90
ＪＲ横須賀線,7.3,逗子,大塚,1,86,94
ＪＲ横須賀線,4.8,田浦,大塚,1,101,109
ＪＲ横須賀線,5.0,横須賀,大塚,1,104,112
ＪＲ横須賀線,2.6,衣笠,大塚,1,109,117
ＪＲ横須賀線,5.2,久里浜,大塚,1,103,111
ＪＲ中央線,9.3,東京,大塚,0,21,29
