line,price,from,to,trans,min,train+walk_min
JR五日市線,3.0,武蔵五日市,桜田門,2,81,97
JR京浜東北線,6.5,大宮,桜田門,2,54,70
JR京浜東北線,6.5,さいたま新都心,桜田門,2,54,70
JR京浜東北線,5.4,与野,桜田門,2,61,77
JR京浜東北線,5.5,北浦和,桜田門,2,58,74
JR京浜東北線,5.7,浦和,桜田門,2,50,66
JR京浜東北線,5.2,南浦和,桜田門,2,53,69
JR京浜東北線,5.2,蕨,桜田門,2,50,66
JR京浜東北線,5.3,西川口,桜田門,2,47,63
JR京浜東北線,5.4,川口,桜田門,2,45,61
JR京浜東北線,7.0,赤羽,桜田門,1,28,44
JR京浜東北線,6.6,東十条,桜田門,2,39,55
JR京浜東北線,6.7,王子,桜田門,2,35,51
JR京浜東北線,6.9,上中里,桜田門,2,34,50
JR京浜東北線,7.0,田端,桜田門,2,31,47
JR京浜東北線,7.2,西日暮里,桜田門,1,20,36
JR京浜東北線,7.7,日暮里,桜田門,1,28,44
JR京浜東北線,7.7,鶯谷,桜田門,1,25,41
JR京浜東北線,8.2,上野,桜田門,1,22,38
JR京浜東北線,8.9,御徒町,桜田門,1,25,41
JR京浜東北線,9.5,秋葉原,桜田門,1,18,34
JR京浜東北線,10.1,神田,桜田門,1,16,32
JR京浜東北線,9.3,東京,桜田門,0,13,29
JR京浜東北線,11.8,有楽町,桜田門,0,10,26
JR京浜東北線,11.4,新橋,桜田門,0,14,30
JR京浜東北線,10.9,浜松町,桜田門,0,9,25
JR京浜東北線,10.1,田町,桜田門,0,12,28
JR京浜東北線,9.3,高輪ゲートウェイ,桜田門,1,21,37
JR京浜東北線,9.1,品川,桜田門,1,21,37
JR京浜東北線,7.9,大井町,桜田門,1,17,33
JR京浜東北線,7.2,大森,桜田門,1,24,40
JR京浜東北線,7.4,蒲田,桜田門,1,28,44
JR京浜東北線,6.5,川崎,桜田門,2,33,49
JR京浜東北線,5.9,鶴見,桜田門,2,36,52
JR京浜東北線,5.0,新子安,桜田門,2,40,56
JR京浜東北線,6.1,東神奈川,桜田門,2,43,59
JR京浜東北線,6.8,横浜,桜田門,2,32,48
JR京浜東北線,6.8,桜木町,桜田門,2,49,65
JR京浜東北線,6.7,関内,桜田門,2,51,67
JR京浜東北線,6.2,石川町,桜田門,2,53,69
JR京浜東北線,5.2,山手,桜田門,2,55,71
JR京浜東北線,4.0,根岸,桜田門,2,58,74
JR京浜東北線,3.9,磯子,桜田門,2,61,77
JR京浜東北線,4.2,新杉田,桜田門,2,63,79
JR京浜東北線,3.9,洋光台,桜田門,2,67,83
JR京浜東北線,4.5,港南台,桜田門,2,69,85
JR京浜東北線,5.0,本郷台,桜田門,2,72,88
JR京浜東北線,5.5,大船,桜田門,2,49,65
JR京葉線,9.3,東京,桜田門,0,13,29
JR京葉線,10.3,八丁堀,桜田門,0,11,27
JR京葉線,9.0,越中島,桜田門,1,22,38
JR京葉線,7.9,潮見,桜田門,1,25,41
JR京葉線,9.3,新木場,桜田門,1,21,37
JR京葉線,5.6,葛西臨海公園,桜田門,2,31,47
JR京葉線,5.0,舞浜,桜田門,1,28,44
JR京葉線,5.2,新浦安,桜田門,2,31,47
JR京葉線,4.8,市川塩浜,桜田門,2,40,56
JR京葉線,4.4,二俣新町,桜田門,2,49,65
JR京葉線,4.7,南船橋,桜田門,2,39,55
JR京葉線,6.0,新習志野,桜田門,2,55,71
JR京葉線,6.0,海浜幕張,桜田門,2,44,60
JR京葉線,5.5,検見川浜,桜田門,2,48,64
JR京葉線,6.4,稲毛海岸,桜田門,2,50,66
JR京葉線,6.3,千葉みなと,桜田門,2,54,70
