,line,price,from,to,trans,min,lat,lng
74,ＪＲ南武線,9.2,稲城長沼,渋谷,1,41,35.644292,139.502568
75,ＪＲ南武線,9.2,南多摩,渋谷,1,44,35.6492761,139.4899059
76,ＪＲ南武線,11.9,府中本町,渋谷,1,46,35.6662815,139.4770873
77,ＪＲ南武線,10.6,分倍河原,渋谷,1,33,35.6685677,139.46874
78,ＪＲ南武線,10.1,西府,渋谷,1,50,35.6709726,139.4573727
79,ＪＲ南武線,10.4,谷保,渋谷,1,53,35.68137,139.446738
80,ＪＲ南武線,10.3,矢川,渋谷,1,55,35.685063,139.431572
81,ＪＲ南武線,11.0,西国立,渋谷,1,57,35.693459,139.4242584
82,ＪＲ南武線,10.0,立川,渋谷,1,36,35.6979144,139.4137408
83,ＪＲ横浜線,14.0,東神奈川,渋谷,1,35,35.4779292,139.6333614
84,ＪＲ横浜線,12.4,大口,渋谷,1,32,35.4921609,139.6461469
85,ＪＲ横浜線,12.1,菊名,渋谷,0,22,35.5099195,139.6313685
86,ＪＲ横浜線,12.3,新横浜,渋谷,0,27,35.5076585,139.6175553
87,ＪＲ横浜線,10.1,小机,渋谷,1,32,35.5085857,139.5998778
88,ＪＲ横浜線,8.7,鴨居,渋谷,1,35,35.5109924,139.5669896
89,ＪＲ横浜線,9.2,中山,渋谷,1,38,35.5148115,139.53935
90,ＪＲ横浜線,8.6,十日市場,渋谷,1,39,35.526222,139.516543
91,ＪＲ横浜線,9.0,長津田,渋谷,0,31,35.5319546,139.4943049
92,ＪＲ横浜線,8.2,成瀬,渋谷,1,43,35.5355157,139.4729137
93,ＪＲ横浜線,9.0,町田,渋谷,1,37,0.0,0.0
94,ＪＲ横浜線,7.3,古淵,渋谷,1,49,35.555994,139.419189
95,ＪＲ横浜線,7.5,淵野辺,渋谷,1,52,35.5687398,139.3950611
96,ＪＲ横浜線,7.6,矢部,渋谷,1,54,35.5730965,139.3867762
97,ＪＲ横浜線,7.5,相模原,渋谷,1,57,35.5813315,139.3712564
98,ＪＲ横浜線,8.0,橋本,渋谷,1,43,35.5948639,139.3449224
99,ＪＲ横浜線,8.5,八王子,渋谷,1,46,35.6556157,139.3388529
100,ＪＲ横須賀線,17.3,西大井,渋谷,0,10,35.60179189999999,139.7218021
101,ＪＲ横須賀線,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
102,ＪＲ横須賀線,11.8,新川崎,渋谷,0,19,35.551696,139.671529
103,ＪＲ横須賀線,15.8,横浜,渋谷,0,28,35.46598110000001,139.622062
104,ＪＲ横須賀線,11.0,保土ケ谷,渋谷,0,32,35.4467618,139.5996306
105,ＪＲ横須賀線,9.5,東戸塚,渋谷,0,37,35.4305843,139.5567901
106,ＪＲ横須賀線,9.0,戸塚,渋谷,0,41,35.4006131,139.5342406
107,ＪＲ横須賀線,9.2,大船,渋谷,0,46,35.3540475,139.5312989
108,ＪＲ横須賀線,11.6,北鎌倉,渋谷,0,51,35.3372266,139.5451937
109,ＪＲ横須賀線,15.8,鎌倉,渋谷,0,55,35.3190156,139.5504157
110,ＪＲ中央線,17.4,東中野,渋谷,1,12,35.7062478,139.6837613
111,ＪＲ中央線,17.2,中野,渋谷,0,45,35.7057972,139.6657777
112,ＪＲ中央線,16.9,高円寺,渋谷,1,18,35.7053457,139.6499291
113,ＪＲ中央線,16.5,阿佐ケ谷,渋谷,0,54,35.7049247,139.6361231
114,ＪＲ中央線,15.5,荻窪,渋谷,1,20,35.7044977,139.6190582
115,ＪＲ中央線,15.1,西荻窪,渋谷,1,25,35.7036961,139.600182
116,ＪＲ中央線,14.0,吉祥寺,渋谷,0,19,35.7031485,139.5798087
117,ＪＲ中央線,14.2,三鷹,渋谷,1,25,35.7027156,139.5610291
118,ＪＲ中央線,13.5,武蔵境,渋谷,1,32,35.7021388,139.5436578
119,ＪＲ中央線,12.8,東小金井,渋谷,1,34,35.7015507,139.5239042
120,ＪＲ中央線,11.9,武蔵小金井,渋谷,1,36,35.7011232,139.506912
121,ＪＲ中央線,11.6,国分寺,渋谷,1,36,35.7002201,139.4802697
122,ＪＲ中央線,11.8,西国分寺,渋谷,1,42,35.6998082,139.4657772
123,ＪＲ中央線,10.7,国立,渋谷,1,44,35.69917300000001,139.446376
124,ＪＲ中央線,10.0,立川,渋谷,1,36,35.6979144,139.4137408
125,ＪＲ中央線,8.8,日野,渋谷,1,52,35.6793641,139.3940577
126,ＪＲ中央線,9.5,豊田,渋谷,1,55,35.6595199,139.3815002
127,ＪＲ中央線,8.5,八王子,渋谷,1,46,35.6556157,139.3388529
128,ＪＲ青梅線,10.0,立川,渋谷,1,36,35.6979144,139.4137408
129,ＪＲ青梅線,8.4,西立川,渋谷,1,40,35.7036031,139.3937133
130,ＪＲ青梅線,8.6,東中神,渋谷,1,42,35.7063467,139.3844948
131,ＪＲ青梅線,8.3,中神,渋谷,1,43,35.7090171,139.3758143
132,ＪＲ青梅線,7.8,昭島,渋谷,1,46,35.7135485,139.3609268
133,ＪＲ青梅線,7.2,拝島,渋谷,1,49,35.72113,139.3436514
134,ＪＲ青梅線,6.9,牛浜,渋谷,1,55,35.7346625,139.3335115
135,ＪＲ青梅線,6.7,福生,渋谷,1,57,35.7423642,139.3278649
136,ＪＲ五日市線,7.2,拝島,渋谷,1,49,35.72113,139.3436514
137,ＪＲ五日市線,6.9,熊川,渋谷,2,59,35.7284086,139.3354048
138,ＪＲ武蔵野線,11.9,府中本町,渋谷,1,46,35.6662815,139.4770873
139,ＪＲ武蔵野線,11.8,西国分寺,渋谷,1,42,35.6998082,139.4657772
140,ＪＲ武蔵野線,8.5,新小平,渋谷,1,57,35.7309094,139.4705899
141,ＪＲ武蔵野線,8.0,新秋津,渋谷,0,47,35.77811,139.493563
142,ＪＲ武蔵野線,7.7,東所沢,渋谷,1,48,35.794886,139.514477
143,ＪＲ武蔵野線,8.2,新座,渋谷,1,44,35.8036922,139.5564949
144,ＪＲ武蔵野線,9.2,北朝霞,渋谷,0,37,35.815469,139.58722
145,ＪＲ武蔵野線,8.3,西浦和,渋谷,1,45,35.8442783,139.6280249
146,ＪＲ武蔵野線,9.5,武蔵浦和,渋谷,0,32,35.84595729999999,139.6476293
