line,station,price
ＪＲ山手線,東京,18.8
ＪＲ山手線,有楽町,18.7
ＪＲ山手線,新橋,22.7
ＪＲ山手線,浜松町,22.4
ＪＲ山手線,田町,19.0
ＪＲ山手線,高輪ゲートウェイ,19.4
ＪＲ山手線,品川,18.2
ＪＲ山手線,大崎,16.8
ＪＲ山手線,五反田,17.8
ＪＲ山手線,目黒,19.0
ＪＲ山手線,恵比寿,21.6
ＪＲ山手線,渋谷,22.3
ＪＲ山手線,原宿,23.5
ＪＲ山手線,代々木,18.5
ＪＲ山手線,新宿,18.9
ＪＲ山手線,新大久保,15.4
ＪＲ山手線,高田馬場,14.5
ＪＲ山手線,目白,14.5
ＪＲ山手線,池袋,13.9
ＪＲ山手線,大塚,14.2
ＪＲ山手線,巣鴨,13.8
ＪＲ山手線,駒込,13.7
ＪＲ山手線,田端,11.4
ＪＲ山手線,西日暮里,12.0
ＪＲ山手線,日暮里,12.6
ＪＲ山手線,鶯谷,13.4
ＪＲ山手線,上野,15.5
ＪＲ山手線,御徒町,16.0
ＪＲ山手線,秋葉原,17.0
ＪＲ山手線,神田,17.7
ＪＲ京浜東北線,赤羽,12.0
ＪＲ京浜東北線,東十条,11.2
ＪＲ京浜東北線,王子,10.9
ＪＲ京浜東北線,上中里,12.0
ＪＲ京浜東北線,田端,11.4
ＪＲ京浜東北線,西日暮里,12.0
ＪＲ京浜東北線,日暮里,12.6
ＪＲ京浜東北線,鶯谷,13.4
ＪＲ京浜東北線,上野,15.5
ＪＲ京浜東北線,御徒町,16.0
ＪＲ京浜東北線,秋葉原,17.0
ＪＲ京浜東北線,神田,17.7
ＪＲ京浜東北線,東京,18.8
ＪＲ京浜東北線,有楽町,18.7
ＪＲ京浜東北線,新橋,22.7
ＪＲ京浜東北線,浜松町,22.4
ＪＲ京浜東北線,田町,19.0
ＪＲ京浜東北線,高輪ゲートウェイ,19.4
ＪＲ京浜東北線,品川,18.2
ＪＲ京浜東北線,大井町,14.5
ＪＲ京浜東北線,大森,12.7
ＪＲ京浜東北線,蒲田,12.0
ＪＲ京浜東北線,川崎,10.0
ＪＲ京浜東北線,鶴見,9.7
ＪＲ京浜東北線,新子安,10.2
ＪＲ京浜東北線,東神奈川,11.5
ＪＲ京浜東北線,横浜,12.2
ＪＲ京浜東北線,桜木町,12.2
ＪＲ京浜東北線,関内,12.3
ＪＲ京浜東北線,石川町,11.2
ＪＲ京浜東北線,山手,9.2
ＪＲ京浜東北線,根岸,9.0
ＪＲ京浜東北線,磯子,8.7
ＪＲ京浜東北線,新杉田,9.5
ＪＲ京浜東北線,洋光台,7.9
ＪＲ京浜東北線,港南台,7.6
ＪＲ京浜東北線,本郷台,7.5
ＪＲ京浜東北線,大船,8.5
ＪＲ東海道本線,東京,18.8
ＪＲ東海道本線,新橋,22.7
ＪＲ東海道本線,品川,18.2
ＪＲ東海道本線,川崎,10.0
ＪＲ東海道本線,横浜,12.2
ＪＲ東海道本線,戸塚,8.3
ＪＲ東海道本線,大船,8.5
ＪＲ東海道本線,藤沢,10.1
ＪＲ東海道本線,辻堂,8.9
ＪＲ東海道本線,茅ケ崎,9.0
ＪＲ東海道本線,平塚,6.9
ＪＲ東海道本線,大磯,7.3
ＪＲ東海道本線,二宮,4.7
ＪＲ東海道本線,国府津,5.5
ＪＲ東海道本線,鴨宮,6.5
ＪＲ東海道本線,小田原,7.0
ＪＲ東海道本線,早川,6.7
ＪＲ東海道本線,根府川,4.7
ＪＲ東海道本線,真鶴,4.3
ＪＲ東海道本線,湯河原,5.8
ＪＲ常磐線,品川,18.2
ＪＲ常磐線,新橋,22.7
ＪＲ常磐線,東京,18.8
ＪＲ常磐線,上野,15.5
ＪＲ常磐線,日暮里,12.6
ＪＲ常磐線,三河島,11.9
ＪＲ常磐線,南千住,12.5
ＪＲ常磐線,北千住,10.9
ＪＲ常磐線,綾瀬,8.9
ＪＲ常磐線,亀有,8.4
ＪＲ常磐線,金町,8.0
ＪＲ常磐線,松戸,8.5
ＪＲ常磐線,北松戸,7.5
ＪＲ常磐線,馬橋,7.0
ＪＲ常磐線,新松戸,7.1
ＪＲ常磐線,北小金,7.0
ＪＲ常磐線,南柏,8.0
ＪＲ常磐線,柏,8.2
ＪＲ常磐線,北柏,7.9
ＪＲ常磐線,我孫子,7.4
ＪＲ常磐線,天王台,6.0
ＪＲ常磐線,取手,4.3
ＪＲ常磐線,藤代,4.8
ＪＲ常磐線,龍ケ崎市,4.0
ＪＲ常磐線,牛久,6.0
ＪＲ常磐線,ひたち野うしく,6.0
ＪＲ常磐線,荒川沖,5.5
ＪＲ常磐線,土浦,5.4
ＪＲ常磐線,神立,4.9
ＪＲ常磐線,高浜,3.5
ＪＲ常磐線,石岡,3.0
ＪＲ常磐線,羽鳥,3.0
ＪＲ常磐線,岩間,3.0
ＪＲ常磐線,友部,4.4
ＪＲ常磐線,内原,5.2
ＪＲ常磐線,赤塚,5.8
ＪＲ常磐線,偕楽園,5.9
ＪＲ常磐線,水戸,5.9
ＪＲ常磐線,勝田,5.8
ＪＲ常磐線,佐和,6.5
ＪＲ常磐線,東海,5.1
ＪＲ常磐線,大甕,4.8
ＪＲ常磐線,常陸多賀,5.1
ＪＲ常磐線,日立,5.4
ＪＲ常磐線,小木津,5.0
ＪＲ常磐線,十王,4.5
ＪＲ常磐線,高萩,4.4
ＪＲ常磐線,南中郷,4.2
ＪＲ常磐線,磯原,3.3
ＪＲ常磐線,大津港,4.2
ＪＲ南武線,川崎,10.0
ＪＲ南武線,尻手,10.4
ＪＲ南武線,八丁畷,10.2
ＪＲ南武線,川崎新町,9.5
ＪＲ南武線,小田栄,9.3
ＪＲ南武線,浜川崎,8.8
ＪＲ南武線,矢向,10.2
ＪＲ南武線,鹿島田,10.0
ＪＲ南武線,平間,10.7
ＪＲ南武線,向河原,12.0
ＪＲ南武線,武蔵小杉,12.0
ＪＲ南武線,武蔵中原,10.4
ＪＲ南武線,武蔵新城,10.0
ＪＲ南武線,武蔵溝ノ口,11.2
ＪＲ南武線,津田山,10.2
ＪＲ南武線,久地,9.5
ＪＲ南武線,宿河原,9.8
ＪＲ南武線,登戸,10.4
ＪＲ南武線,中野島,8.5
ＪＲ南武線,稲田堤,8.7
ＪＲ南武線,矢野口,8.3
