line,station,price
ＪＲ南武線,分倍河原,10.6
ＪＲ南武線,西府,10.1
ＪＲ南武線,谷保,10.4
ＪＲ南武線,矢川,10.3
ＪＲ南武線,西国立,11.0
ＪＲ南武線,立川,10.0
ＪＲ横浜線,東神奈川,14.0
ＪＲ横浜線,大口,12.4
ＪＲ横浜線,菊名,12.1
ＪＲ横浜線,新横浜,12.3
ＪＲ横浜線,小机,10.1
ＪＲ横浜線,鴨居,8.7
ＪＲ横浜線,中山,9.2
ＪＲ横浜線,十日市場,8.6
ＪＲ横浜線,長津田,9.0
ＪＲ横浜線,成瀬,8.2
ＪＲ横浜線,町田,9.0
ＪＲ横浜線,古淵,7.3
ＪＲ横浜線,淵野辺,7.5
ＪＲ横浜線,矢部,7.6
ＪＲ横浜線,相模原,7.5
ＪＲ横浜線,橋本,8.0
ＪＲ横浜線,相原,8.1
ＪＲ横浜線,八王子みなみ野,8.4
ＪＲ横浜線,片倉,8.7
ＪＲ横浜線,八王子,8.5
ＪＲ横須賀線,東京,26.5
ＪＲ横須賀線,新橋,30.0
ＪＲ横須賀線,品川,27.4
ＪＲ横須賀線,西大井,17.3
ＪＲ横須賀線,武蔵小杉,14.0
ＪＲ横須賀線,新川崎,11.8
ＪＲ横須賀線,横浜,15.8
ＪＲ横須賀線,保土ケ谷,11.0
ＪＲ横須賀線,東戸塚,9.5
ＪＲ横須賀線,戸塚,9.0
ＪＲ横須賀線,大船,9.2
ＪＲ横須賀線,北鎌倉,11.6
ＪＲ横須賀線,鎌倉,15.8
ＪＲ横須賀線,逗子,13.5
ＪＲ横須賀線,東逗子,11.2
ＪＲ横須賀線,田浦,10.4
ＪＲ横須賀線,横須賀,12.0
ＪＲ横須賀線,衣笠,6.5
ＪＲ横須賀線,久里浜,8.2
ＪＲ中央線,東京,26.5
ＪＲ中央線,神田,25.6
ＪＲ中央線,御茶ノ水,24.9
ＪＲ中央線,水道橋,26.0
ＪＲ中央線,飯田橋,24.7
ＪＲ中央線,市ケ谷,32.0
ＪＲ中央線,四ツ谷,29.1
ＪＲ中央線,信濃町,25.0
ＪＲ中央線,千駄ケ谷,29.1
ＪＲ中央線,代々木,25.4
ＪＲ中央線,新宿,27.4
ＪＲ中央線,大久保,22.9
ＪＲ中央線,東中野,17.4
ＪＲ中央線,中野,17.2
ＪＲ中央線,高円寺,16.9
ＪＲ中央線,阿佐ケ谷,16.5
ＪＲ中央線,荻窪,15.5
ＪＲ中央線,西荻窪,15.1
ＪＲ中央線,吉祥寺,14.0
ＪＲ中央線,三鷹,14.2
ＪＲ中央線,武蔵境,13.5
ＪＲ中央線,東小金井,12.8
ＪＲ中央線,武蔵小金井,11.9
ＪＲ中央線,国分寺,11.6
ＪＲ中央線,西国分寺,11.8
ＪＲ中央線,国立,10.7
ＪＲ中央線,立川,10.0
ＪＲ中央線,日野,8.8
ＪＲ中央線,豊田,9.5
ＪＲ中央線,八王子,8.5
ＪＲ中央線,西八王子,7.6
ＪＲ中央線,高尾,6.8
ＪＲ中央線,相模湖,5.5
ＪＲ中央線,藤野,6.7
ＪＲ青梅線,立川,10.0
ＪＲ青梅線,西立川,8.4
ＪＲ青梅線,東中神,8.6
ＪＲ青梅線,中神,8.3
ＪＲ青梅線,昭島,7.8
ＪＲ青梅線,拝島,7.2
ＪＲ青梅線,牛浜,6.9
ＪＲ青梅線,福生,6.7
ＪＲ青梅線,羽村,6.4
ＪＲ青梅線,小作,6.3
ＪＲ青梅線,河辺,6.3
ＪＲ青梅線,東青梅,6.2
ＪＲ青梅線,青梅,6.2
ＪＲ青梅線,宮ノ平,5.1
ＪＲ青梅線,日向和田,4.6
ＪＲ青梅線,石神前,5.4
ＪＲ青梅線,二俣尾,5.1
ＪＲ青梅線,軍畑,5.4
ＪＲ青梅線,沢井,5.4
ＪＲ青梅線,御嶽,5.4
ＪＲ青梅線,川井,5.4
ＪＲ青梅線,古里,5.3
ＪＲ青梅線,鳩ノ巣,5.4
ＪＲ五日市線,拝島,7.2
ＪＲ五日市線,熊川,6.9
ＪＲ五日市線,東秋留,6.0
ＪＲ五日市線,秋川,6.7
ＪＲ五日市線,武蔵引田,6.9
ＪＲ五日市線,武蔵増戸,6.7
ＪＲ五日市線,武蔵五日市,6.9
ＪＲ武蔵野線,府中本町,11.9
ＪＲ武蔵野線,北府中,11.0
ＪＲ武蔵野線,西国分寺,11.8
ＪＲ武蔵野線,新小平,8.5
ＪＲ武蔵野線,新秋津,8.0
ＪＲ武蔵野線,東所沢,7.7
ＪＲ武蔵野線,新座,8.2
ＪＲ武蔵野線,北朝霞,9.2
ＪＲ武蔵野線,西浦和,8.3
ＪＲ武蔵野線,武蔵浦和,9.5
ＪＲ武蔵野線,南浦和,9.4
ＪＲ武蔵野線,東浦和,7.7
ＪＲ武蔵野線,東川口,9.0
ＪＲ武蔵野線,南越谷,8.2
ＪＲ武蔵野線,越谷レイクタウン,6.8
ＪＲ武蔵野線,吉川,7.2
ＪＲ武蔵野線,吉川美南,6.8
ＪＲ武蔵野線,新三郷,6.8
ＪＲ武蔵野線,三郷,7.7
ＪＲ武蔵野線,南流山,9.1
ＪＲ武蔵野線,新松戸,7.6
ＪＲ武蔵野線,新八柱,7.0
ＪＲ武蔵野線,東松戸,8.3
ＪＲ武蔵野線,市川大野,6.8
ＪＲ武蔵野線,船橋法典,8.3
ＪＲ武蔵野線,西船橋,9.5
ＪＲ八高線,八王子,8.5
ＪＲ八高線,北八王子,8.2
ＪＲ八高線,小宮,7.8
ＪＲ八高線,拝島,7.2
ＪＲ八高線,東福生,6.8
ＪＲ八高線,箱根ケ崎,6.3
ＪＲ八高線,金子,5.9
ＪＲ八高線,東飯能,6.8
ＪＲ八高線,高麗川,6.7
ＪＲ八高線,毛呂,5.8
ＪＲ八高線,越生,4.8
ＪＲ八高線,明覚,5.4
ＪＲ八高線,小川町,4.1
ＪＲ八高線,竹沢,4.3
ＪＲ八高線,折原,5.4
ＪＲ八高線,寄居,5.0
ＪＲ八高線,用土,5.4
ＪＲ八高線,松久,4.3
ＪＲ八高線,児玉,4.0
ＪＲ八高線,丹荘,5.5
ＪＲ八高線,群馬藤岡,5.3
ＪＲ八高線,北藤岡,5.2
ＪＲ八高線,倉賀野,6.3
ＪＲ八高線,高崎,6.5
ＪＲ埼京線,羽沢横浜国大,9.0
ＪＲ埼京線,武蔵小杉,14.0
ＪＲ埼京線,西大井,17.3
ＪＲ埼京線,大崎,25.8
ＪＲ埼京線,恵比寿,30.0
ＪＲ埼京線,渋谷,35.0
ＪＲ埼京線,新宿,27.4
ＪＲ埼京線,池袋,19.6
ＪＲ埼京線,板橋,17.1
ＪＲ埼京線,十条,15.5
ＪＲ埼京線,赤羽,16.0
ＪＲ埼京線,北赤羽,12.5
ＪＲ埼京線,浮間舟渡,12.5
ＪＲ埼京線,戸田公園,9.7
ＪＲ埼京線,戸田,9.8
ＪＲ埼京線,北戸田,9.3
ＪＲ埼京線,武蔵浦和,9.5
ＪＲ埼京線,中浦和,8.7
ＪＲ埼京線,南与野,8.4
ＪＲ埼京線,与野本町,8.6
ＪＲ埼京線,北与野,9.8
ＪＲ埼京線,大宮,9.0
ＪＲ高崎線,東京,26.5
ＪＲ高崎線,上野,19.8
ＪＲ高崎線,尾久,14.0
ＪＲ高崎線,赤羽,16.0
ＪＲ高崎線,浦和,9.9
ＪＲ高崎線,さいたま新都心,10.9
ＪＲ高崎線,大宮,9.0
ＪＲ高崎線,宮原,7.6
ＪＲ高崎線,上尾,6.3
ＪＲ高崎線,北上尾,6.2
ＪＲ高崎線,桶川,6.3
ＪＲ高崎線,北本,5.9
ＪＲ高崎線,鴻巣,5.8
ＪＲ高崎線,北鴻巣,6.0
ＪＲ高崎線,吹上,6.0
ＪＲ高崎線,行田,5.5
ＪＲ高崎線,熊谷,6.3
ＪＲ高崎線,籠原,5.9
ＪＲ高崎線,深谷,5.5
ＪＲ高崎線,岡部,4.9
ＪＲ高崎線,本庄,4.9
ＪＲ高崎線,神保原,5.5
ＪＲ高崎線,新町,5.0
ＪＲ高崎線,倉賀野,6.3
ＪＲ高崎線,高崎,6.5
ＪＲ宇都宮線,東京,26.5
ＪＲ宇都宮線,上野,19.8
ＪＲ宇都宮線,尾久,14.0
ＪＲ宇都宮線,赤羽,16.0
ＪＲ宇都宮線,浦和,9.9
ＪＲ宇都宮線,さいたま新都心,10.9
ＪＲ宇都宮線,大宮,9.0
ＪＲ宇都宮線,土呂,8.7
ＪＲ宇都宮線,東大宮,7.1
ＪＲ宇都宮線,蓮田,6.6
ＪＲ宇都宮線,白岡,7.1
ＪＲ宇都宮線,新白岡,7.3
ＪＲ宇都宮線,久喜,5.5
ＪＲ宇都宮線,東鷲宮,5.4
ＪＲ宇都宮線,栗橋,6.1
ＪＲ宇都宮線,古河,6.6
ＪＲ宇都宮線,野木,6.0
ＪＲ宇都宮線,間々田,5.4
ＪＲ宇都宮線,小山,5.9
ＪＲ宇都宮線,小金井,6.1
ＪＲ宇都宮線,自治医大,6.6
ＪＲ宇都宮線,石橋,5.4
ＪＲ宇都宮線,雀宮,6.5
ＪＲ宇都宮線,宇都宮,6.8
ＪＲ宇都宮線,岡本,6.5
ＪＲ宇都宮線,宝積寺,6.2
ＪＲ宇都宮線,氏家,5.5
ＪＲ宇都宮線,蒲須坂,5.5
ＪＲ宇都宮線,片岡,3.6
ＪＲ宇都宮線,矢板,4.0
ＪＲ総武線,千葉,8.7
ＪＲ総武線,西千葉,6.1
ＪＲ総武線,稲毛,6.9
ＪＲ総武線,新検見川,6.6
ＪＲ総武線,幕張,9.5
ＪＲ総武線,幕張本郷,8.2
ＪＲ総武線,津田沼,9.7
ＪＲ総武線,東船橋,10.0
ＪＲ総武線,船橋,9.9
ＪＲ総武線,西船橋,9.5
ＪＲ総武線,下総中山,9.5
ＪＲ総武線,本八幡,10.7
ＪＲ総武線,市川,10.8
ＪＲ総武線,小岩,11.0
ＪＲ総武線,新小岩,11.5
ＪＲ総武線,平井,12.5
ＪＲ総武線,亀戸,14.2
ＪＲ総武線,錦糸町,17.4
ＪＲ総武線,両国,18.9
ＪＲ総武線,浅草橋,21.0
