line,price,from,to,trans,min,train+walk_min,lat,lng
ＪＲ東海道本線,6.1,辻堂,大塚,1,84,92,35.3368951,139.4470874
ＪＲ東海道本線,5.2,茅ケ崎,大塚,1,88,96,35.3303025,139.4068167
ＪＲ東海道本線,4.1,平塚,大塚,1,93,101,35.3276448,139.3504658
ＪＲ東海道本線,3.4,大磯,大塚,1,97,105,35.311435,139.313291
ＪＲ東海道本線,2.7,二宮,大塚,1,102,110,35.2987859,139.2575981
ＪＲ東海道本線,4.5,国府津,大塚,1,106,114,35.281353,139.21494
ＪＲ東海道本線,4.4,鴨宮,大塚,1,95,103,35.275658,139.180026
ＪＲ東海道本線,5.3,小田原,大塚,1,67,75,35.2564449,139.1553932
ＪＲ東海道本線,4.3,早川,大塚,1,117,125,35.238689,139.145003
ＪＲ東海道本線,3.6,根府川,大塚,1,122,130,35.202526,139.138644
ＪＲ東海道本線,4.1,真鶴,大塚,1,127,135,35.156809,139.13234
ＪＲ東海道本線,5.6,湯河原,大塚,1,131,139,35.146087,139.102177
ＪＲ常磐線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ常磐線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ常磐線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ常磐線,8.2,上野,大塚,0,13,21,35.7141672,139.7774091
ＪＲ常磐線,7.7,日暮里,大塚,0,9,17,35.7281578,139.7706414
ＪＲ常磐線,7.7,三河島,大塚,1,14,22,35.7331755,139.7784846
ＪＲ常磐線,7.8,南千住,大塚,1,17,25,35.7331617,139.7989223
ＪＲ常磐線,7.2,北千住,大塚,1,19,27,35.7496762,139.8053433
ＪＲ常磐線,6.0,綾瀬,大塚,1,23,31,35.762315,139.824924
ＪＲ常磐線,6.1,亀有,大塚,1,27,35,35.7665375,139.8475334
ＪＲ常磐線,5.4,金町,大塚,1,30,38,35.769538,139.870476
ＪＲ常磐線,5.7,松戸,大塚,1,27,35,35.7843004,139.9006607
ＪＲ常磐線,5.5,北松戸,大塚,1,37,45,35.8005413,139.9117619
ＪＲ常磐線,4.5,馬橋,大塚,1,39,47,35.81134000000001,139.917276
ＪＲ常磐線,4.6,新松戸,大塚,1,41,49,35.8254725,139.920711
ＪＲ常磐線,4.4,北小金,大塚,1,43,51,35.833227,139.930774
ＪＲ常磐線,4.1,南柏,大塚,1,46,54,35.8446412,139.9541741
ＪＲ常磐線,4.4,柏,大塚,1,36,44,35.8621498,139.9709172
ＪＲ常磐線,4.2,北柏,大塚,1,50,58,35.8755954,139.9880873
ＪＲ常磐線,4.7,我孫子,大塚,1,40,48,35.8727034,140.0107941
ＪＲ常磐線,3.9,天王台,大塚,1,43,51,35.8725378,140.0409088
ＪＲ常磐線,4.1,取手,大塚,1,47,55,35.8956987,140.0628753
ＪＲ常磐線,2.9,藤代,大塚,1,52,60,35.9205553,140.1181431
ＪＲ常磐線,2.9,龍ケ崎市,大塚,1,55,63,35.9300659,140.1382285
ＪＲ常磐線,3.0,牛久,大塚,1,59,67,35.9756237,140.1410386
ＪＲ常磐線,3.0,ひたち野うしく,大塚,1,62,70,36.007352,140.158247
ＪＲ常磐線,3.5,荒川沖,大塚,1,65,73,36.0312941,140.1666344
ＪＲ常磐線,3.9,土浦,大塚,1,71,79,36.078484,140.206212
ＪＲ常磐線,3.0,神立,大塚,1,86,94,36.1204786,140.2485896
ＪＲ常磐線,2.5,高浜,大塚,2,778,786,33.8834099,132.7020311
ＪＲ常磐線,2.6,石岡,大塚,1,95,103,36.1909503,140.2802496
ＪＲ常磐線,2.8,羽鳥,大塚,1,100,108,36.247523,140.2867541
ＪＲ常磐線,2.5,岩間,大塚,1,104,112,36.2954645,140.2765219
ＪＲ常磐線,2.9,友部,大塚,1,108,116,36.3504842,140.3060536
ＪＲ常磐線,2.8,内原,大塚,1,114,122,36.3705866,140.3533065
ＪＲ常磐線,3.5,赤塚,大塚,1,116,124,36.3819102,140.4151928
ＪＲ常磐線,3.8,水戸,大塚,1,109,117,36.3707551,140.476308
ＪＲ常磐線,4.7,勝田,大塚,1,115,123,36.3944787,140.5242313
ＪＲ常磐線,4.7,佐和,大塚,2,132,140,36.4296464,140.5400125
ＪＲ常磐線,4.1,東海,大塚,1,134,142,36.4654424,140.5659002
ＪＲ常磐線,3.5,大甕,大塚,1,139,147,36.5128356,140.6194923
ＪＲ常磐線,3.5,常陸多賀,大塚,1,129,137,36.5520816,140.632684
ＪＲ常磐線,3.4,日立,大塚,1,133,141,36.590439,140.661847
ＪＲ常磐線,2.8,小木津,大塚,2,142,150,36.6366565,140.6752323
ＪＲ常磐線,3.8,十王,大塚,2,146,154,36.6713751,140.6859798
ＪＲ常磐線,1.9,高萩,大塚,1,144,152,36.7144822,140.7170031
ＪＲ常磐線,1.9,南中郷,大塚,2,155,163,36.7528116,140.7289449
ＪＲ常磐線,3.1,磯原,大塚,1,150,158,36.7905022,140.746164
ＪＲ常磐線,4.0,大津港,大塚,2,165,173,36.8467745,140.7780755
ＪＲ南武線,6.5,川崎,大塚,1,46,54,35.5313654,139.696889
ＪＲ南武線,6.8,尻手,大塚,2,53,61,35.5311934,139.6844966
ＪＲ南武線,6.1,八丁畷,大塚,2,56,64,35.523005,139.691445
ＪＲ南武線,6.7,川崎新町,大塚,2,71,79,35.5182669,139.699176
ＪＲ南武線,6.3,小田栄,大塚,2,75,83,35.5147242,139.7047391
ＪＲ南武線,5.5,浜川崎,大塚,2,83,91,35.5102284,139.7138465
ＪＲ南武線,6.2,矢向,大塚,2,52,60,35.5389245,139.6804314
ＪＲ南武線,6.0,鹿島田,大塚,1,46,54,35.5512456,139.6751584
ＪＲ南武線,5.7,平間,大塚,2,47,55,35.5610488,139.6710631
ＪＲ南武線,6.5,向河原,大塚,2,45,53,35.5721934,139.6672787
ＪＲ南武線,6.3,武蔵小杉,大塚,1,35,43,35.5766335,139.659466
ＪＲ南武線,6.2,武蔵中原,大塚,2,50,58,35.5807143,139.642107
ＪＲ南武線,6.0,武蔵新城,大塚,2,53,61,35.5872956,139.6295285
ＪＲ南武線,6.9,武蔵溝ノ口,大塚,1,45,53,35.5993971,139.6105195
ＪＲ南武線,6.3,津田山,大塚,2,52,60,35.6038877,139.6005132
ＪＲ南武線,5.5,久地,大塚,2,50,58,35.6106071,139.5925028
ＪＲ南武線,5.3,宿河原,大塚,2,48,56,35.6153072,139.5794511
ＪＲ南武線,5.7,登戸,大塚,1,34,42,35.6207662,139.5700976
ＪＲ南武線,4.8,中野島,大塚,2,42,50,35.6301215,139.5500898
ＪＲ南武線,4.9,稲田堤,大塚,1,55,63,35.6334204,139.5356629
ＪＲ南武線,4.1,矢野口,大塚,2,47,55,35.6417444,139.5203813
ＪＲ南武線,4.1,稲城長沼,大塚,2,49,57,35.644292,139.502568
ＪＲ南武線,4.0,南多摩,大塚,2,51,59,35.6492761,139.4899059
ＪＲ南武線,5.2,府中本町,大塚,1,141,149,35.6662815,139.4770873
ＪＲ南武線,5.0,分倍河原,大塚,1,48,56,35.6685677,139.46874
ＪＲ南武線,4.1,西府,大塚,2,59,67,35.6709726,139.4573727
ＪＲ南武線,5.0,谷保,大塚,2,61,69,35.68137,139.446738
ＪＲ南武線,5.3,矢川,大塚,2,59,67,35.685063,139.431572
ＪＲ南武線,5.2,西国立,大塚,2,57,65,35.693459,139.4242584
ＪＲ南武線,5.0,立川,大塚,1,45,53,35.6979144,139.4137408
ＪＲ横浜線,6.1,東神奈川,大塚,1,61,69,35.4779292,139.6333614
ＪＲ横浜線,5.1,大口,大塚,2,65,73,35.4921609,139.6461469
ＪＲ横浜線,6.0,菊名,大塚,1,55,63,35.5099195,139.6313685
ＪＲ横浜線,6.5,新横浜,大塚,1,50,58,35.5076585,139.6175553
ＪＲ横浜線,6.5,小机,大塚,2,58,66,35.5085857,139.5998778
ＪＲ横浜線,6.4,鴨居,大塚,2,61,69,35.5109924,139.5669896
ＪＲ横浜線,5.3,中山,大塚,2,64,72,35.5148115,139.53935
ＪＲ横浜線,5.0,十日市場,大塚,2,62,70,35.526222,139.516543
ＪＲ横浜線,5.5,長津田,大塚,1,58,66,35.5319546,139.4943049
ＪＲ横浜線,6.3,成瀬,大塚,2,56,64,35.5355157,139.4729137
ＪＲ横浜線,4.6,町田,大塚,1,44,52,35.5439695,139.4450788
ＪＲ横浜線,4.3,古淵,大塚,2,56,64,35.555994,139.419189
ＪＲ横浜線,3.6,淵野辺,大塚,2,59,67,35.5687398,139.3950611
ＪＲ横浜線,3.6,矢部,大塚,2,61,69,35.5730965,139.3867762
ＪＲ横浜線,3.6,相模原,大塚,2,63,71,35.5813315,139.3712564
ＪＲ横浜線,4.1,橋本,大塚,1,62,70,35.5948639,139.3449224
ＪＲ横浜線,4.2,相原,大塚,2,74,82,35.6069027,139.3316669
ＪＲ横浜線,4.5,八王子みなみ野,大塚,2,78,86,35.631317,139.330972
ＪＲ横浜線,4.0,片倉,大塚,1,80,88,35.6397424,139.3414569
ＪＲ横浜線,3.8,八王子,大塚,1,53,61,35.655673,139.3389617
ＪＲ横須賀線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ横須賀線,11.4,新橋,大塚,0,26,34,35.666379,139.7583398
ＪＲ横須賀線,9.1,品川,大塚,0,30,38,35.6284713,139.7387597
ＪＲ横須賀線,7.7,西大井,大塚,1,29,37,35.60179189999999,139.7218021
ＪＲ横須賀線,6.3,武蔵小杉,大塚,1,35,43,35.5766335,139.659466
ＪＲ横須賀線,6.0,新川崎,大塚,1,38,46,35.551696,139.671529
ＪＲ横須賀線,6.8,横浜,大塚,1,47,55,35.46598110000001,139.622062
ＪＲ横須賀線,4.8,保土ケ谷,大塚,1,51,59,35.4467618,139.5996306
ＪＲ横須賀線,5.2,東戸塚,大塚,1,56,64,35.4305843,139.5567901
ＪＲ横須賀線,5.1,戸塚,大塚,1,60,68,35.40076639999999,139.5342039
ＪＲ横須賀線,5.5,大船,大塚,1,65,73,35.3540475,139.5312989
ＪＲ横須賀線,7.2,北鎌倉,大塚,1,79,87,35.3372266,139.5451937
ＪＲ横須賀線,7.4,鎌倉,大塚,1,82,90,35.3190647,139.5504119
ＪＲ横須賀線,7.3,逗子,大塚,1,86,94,35.2973885,139.5783805
ＪＲ横須賀線,4.8,田浦,大塚,1,101,109,35.2927468,139.6369044
ＪＲ横須賀線,5.0,横須賀,大塚,1,104,112,35.284198,139.654875
ＪＲ横須賀線,2.6,衣笠,大塚,1,109,117,35.2571472,139.6610915
ＪＲ横須賀線,5.2,久里浜,大塚,1,103,111,35.2331101,139.7013339
ＪＲ中央線,9.3,東京,大塚,0,21,29,35.6812996,139.7670658
ＪＲ中央線,10.1,神田,大塚,0,19,27,35.6918216,139.7709318
ＪＲ中央線,9.2,御茶ノ水,大塚,1,22,30,35.6997175,139.7644404
ＪＲ中央線,9.2,水道橋,大塚,1,14,22,35.7020484,139.7535016
ＪＲ中央線,9.6,飯田橋,大塚,1,20,28,35.7020837,139.7450232
ＪＲ中央線,9.7,市ケ谷,大塚,1,22,30,35.6910121,139.7355674
ＪＲ中央線,10.0,四ツ谷,大塚,1,20,28,35.6861525,139.7302183
ＪＲ中央線,8.8,信濃町,大塚,1,18,26,35.6800602,139.7203199
ＪＲ中央線,9.7,千駄ケ谷,大塚,1,16,24,35.6811956,139.7112808
ＪＲ中央線,10.1,代々木,大塚,0,13,21,35.683033,139.7020555
ＪＲ中央線,8.2,新宿,大塚,0,11,19,35.6896067,139.7005713
ＪＲ中央線,7.7,大久保,大塚,1,16,24,35.7006865,139.697381
ＪＲ中央線,7.5,東中野,大塚,1,22,30,35.7062478,139.6837613
ＪＲ中央線,7.2,中野,大塚,1,20,28,35.7054067,139.6658254
ＪＲ中央線,7.0,高円寺,大塚,1,24,32,35.7053457,139.6499291
ＪＲ中央線,6.7,阿佐ケ谷,大塚,1,26,34,35.7049247,139.6361231
ＪＲ中央線,6.6,荻窪,大塚,1,25,33,35.7045751,139.6200629
ＪＲ中央線,6.6,西荻窪,大塚,1,31,39,35.7036961,139.600182
ＪＲ中央線,6.5,吉祥寺,大塚,1,29,37,35.7031125,139.5801608
ＪＲ中央線,6.5,三鷹,大塚,1,32,40,35.7027156,139.5610291
ＪＲ中央線,6.2,武蔵境,大塚,1,35,43,35.7021388,139.5436578
ＪＲ中央線,5.8,東小金井,大塚,1,37,45,35.7015507,139.5239042
ＪＲ中央線,5.3,武蔵小金井,大塚,1,39,47,35.7011232,139.506912
ＪＲ中央線,5.2,国分寺,大塚,1,42,50,35.7002201,139.4802697
ＪＲ中央線,5.0,西国分寺,大塚,1,47,55,35.6998082,139.4657772
ＪＲ中央線,4.8,国立,大塚,1,49,57,35.69917300000001,139.446376
ＪＲ中央線,5.0,立川,大塚,1,45,53,35.6979144,139.4137408
ＪＲ中央線,3.9,日野,大塚,1,46,54,35.6793641,139.3940577
ＪＲ中央線,4.1,豊田,大塚,1,48,56,35.6595199,139.3815002
ＪＲ中央線,3.8,八王子,大塚,1,53,61,35.655673,139.3389617
ＪＲ中央線,3.5,西八王子,大塚,1,56,64,35.6565083,139.3124204
ＪＲ中央線,3.7,高尾,大塚,1,60,68,35.64222609999999,139.2818312
ＪＲ中央線,1.8,相模湖,大塚,1,70,78,35.6170681,139.1889685
ＪＲ中央線,3.7,藤野,大塚,1,74,82,35.616036,139.151349
ＪＲ青梅線,5.0,立川,大塚,1,45,53,35.6979144,139.4137408
ＪＲ青梅線,4.9,西立川,大塚,1,49,57,35.7036031,139.3937133
ＪＲ青梅線,5.2,東中神,大塚,1,51,59,35.7063467,139.3844948
ＪＲ青梅線,5.5,中神,大塚,1,52,60,35.7090171,139.3758143
ＪＲ青梅線,5.2,昭島,大塚,1,55,63,35.7135485,139.3609268
ＪＲ青梅線,4.5,拝島,大塚,1,58,66,35.72113,139.3436514
ＪＲ青梅線,3.5,牛浜,大塚,1,64,72,35.7346625,139.3335115
ＪＲ青梅線,3.5,福生,大塚,1,66,74,35.7423642,139.3278649
ＪＲ青梅線,4.9,羽村,大塚,1,69,77,35.7584547,139.3159445
ＪＲ青梅線,4.6,小作,大塚,1,72,80,35.7763135,139.3019204
ＪＲ青梅線,3.2,河辺,大塚,1,75,83,35.7844627,139.2847176
ＪＲ青梅線,3.0,東青梅,大塚,1,78,86,35.7899423,139.2723871
ＪＲ青梅線,2.6,青梅,大塚,1,80,88,35.7902971,139.2583877
ＪＲ青梅線,2.7,宮ノ平,大塚,2,93,101,35.7873043,139.2368877
ＪＲ青梅線,2.9,日向和田,大塚,2,98,106,35.788518,139.229557
ＪＲ青梅線,4.0,石神前,大塚,2,100,108,35.796767,139.22528
ＪＲ青梅線,4.0,二俣尾,大塚,2,103,111,35.803878,139.216197
ＪＲ青梅線,4.0,軍畑,大塚,2,105,113,35.8076114,139.2077087
ＪＲ青梅線,4.0,沢井,大塚,2,107,115,35.8058773,139.1937693
ＪＲ青梅線,4.0,御嶽,大塚,2,110,118,35.8014448,139.1829606
ＪＲ青梅線,4.0,川井,大塚,2,115,123,35.813736,139.164256
ＪＲ青梅線,4.0,古里,大塚,2,118,126,35.816291,139.151063
ＪＲ青梅線,4.0,鳩ノ巣,大塚,2,122,130,35.8149406,139.128745
ＪＲ青梅線,4.0,奥多摩,大塚,2,128,136,35.809374,139.096929
ＪＲ五日市線,4.5,拝島,大塚,1,58,66,35.72113,139.3436514
ＪＲ五日市線,3.6,熊川,大塚,2,66,74,35.7284086,139.3354048
ＪＲ五日市線,4.6,東秋留,大塚,2,69,77,35.7259108,139.3108079
ＪＲ五日市線,4.8,秋川,大塚,2,73,81,35.728084,139.2866522
ＪＲ五日市線,4.7,武蔵引田,大塚,2,76,84,35.72986119999999,139.2702242
