line,station,price
JR京浜東北線,東神奈川,
JR京浜東北線,横浜,
JR京浜東北線,桜木町,
JR京浜東北線,関内,
JR京浜東北線,石川町,
JR京浜東北線,山手,
JR京浜東北線,根岸,
JR京浜東北線,磯子,
JR京浜東北線,新杉田,
JR京浜東北線,洋光台,
JR京浜東北線,港南台,
JR京浜東北線,本郷台,
JR京浜東北線,大船,
JR京葉線,東京,
JR京葉線,八丁堀,
JR京葉線,越中島,
JR京葉線,潮見,
JR京葉線,新木場,
JR京葉線,葛西臨海公園,
JR京葉線,舞浜,
JR京葉線,新浦安,
JR京葉線,市川塩浜,
JR京葉線,二俣新町,
JR京葉線,南船橋,
JR京葉線,新習志野,
JR京葉線,幕張豊砂（2023年3月18日開業）,
JR京葉線,海浜幕張,
JR京葉線,検見川浜,
JR京葉線,稲毛海岸,
JR京葉線,千葉みなと,
JR京葉線,蘇我,
JR信越本線（群馬県）,高崎,
JR信越本線（群馬県）,北高崎,
JR信越本線（群馬県）,群馬八幡,
JR信越本線（群馬県）,安中,
JR信越本線（群馬県）,磯部,
JR信越本線（群馬県）,松井田,
JR信越本線（群馬県）,西松井田,
JR信越本線（群馬県）,横川,
JR八高線,八王子,
JR八高線,北八王子,
JR八高線,小宮,
JR八高線,拝島,
JR八高線,東福生,
JR八高線,箱根ケ崎,
JR八高線,金子,
JR八高線,東飯能,
JR八高線,高麗川,
JR八高線,毛呂,
JR八高線,越生,
JR八高線,明覚,
JR八高線,小川町,
JR八高線,竹沢,
JR八高線,折原,
JR八高線,寄居,
JR八高線,用土,
JR八高線,松久,
JR八高線,児玉,
JR八高線,丹荘,
JR八高線,群馬藤岡,
JR八高線,北藤岡,
JR八高線,倉賀野,
JR八高線,高崎,
JR内房線,千葉,
JR内房線,本千葉,
JR内房線,蘇我,
JR内房線,浜野,
JR内房線,八幡宿,
JR内房線,五井,
JR内房線,姉ケ崎,
JR内房線,長浦,
JR内房線,袖ケ浦,
JR内房線,巌根,
JR内房線,木更津,
JR内房線,君津,
JR内房線,青堀,
JR内房線,大貫,
JR内房線,佐貫町,
JR内房線,上総湊,
JR内房線,竹岡,
JR内房線,浜金谷,
JR内房線,保田,
JR内房線,安房勝山,
JR内房線,岩井,
JR内房線,富浦,
JR内房線,那古船形,
JR内房線,館山,
JR内房線,九重,
JR内房線,千倉,
JR内房線,千歳,
JR内房線,南三原,
JR内房線,和田浦,
JR内房線,江見,
JR内房線,太海,
JR内房線,安房鴨川,
JR南武線,立川,
JR南武線,西国立,
JR南武線,矢川,
JR南武線,谷保,
JR南武線,西府,
JR南武線,分倍河原,
JR南武線,府中本町,
JR南武線,南多摩,
JR南武線,稲城長沼,
JR南武線,矢野口,
JR南武線,稲田堤,
JR南武線,中野島,
JR南武線,登戸,
JR南武線,宿河原,
JR南武線,久地,
JR南武線,津田山,
JR南武線,武蔵溝ノ口,
JR南武線,武蔵新城,
JR南武線,武蔵中原,
JR南武線,武蔵小杉,
JR南武線,向河原,
JR南武線,平間,
JR南武線,鹿島田,
JR南武線,矢向,
JR南武線,尻手,
JR南武線,川崎,
JR埼京線,川越,
JR埼京線,南古谷,
JR埼京線,指扇,
JR埼京線,日進,
JR埼京線,大宮,
JR埼京線,北与野,
JR埼京線,与野本町,
JR埼京線,南与野,
JR埼京線,中浦和,
JR埼京線,武蔵浦和,
JR埼京線,北戸田,
JR埼京線,戸田,
JR埼京線,戸田公園,
JR埼京線,浮間舟渡,
JR埼京線,北赤羽,
JR埼京線,赤羽,
JR埼京線,十条,
JR埼京線,板橋,
JR埼京線,池袋,
JR埼京線,新宿,
JR埼京線,渋谷,
JR埼京線,恵比寿,
JR埼京線,大崎,
JR埼京線,西大井,
JR埼京線,武蔵小杉,
JR埼京線,羽沢横浜国大,
JR外房線,千葉,
JR外房線,本千葉,
JR外房線,蘇我,
JR外房線,鎌取,
JR外房線,誉田,
JR外房線,土気,
JR外房線,大網,
JR外房線,永田,
JR外房線,本納,
JR外房線,新茂原,
JR外房線,茂原,
JR外房線,八積,
JR外房線,上総一ノ宮,
JR外房線,東浪見,
JR外房線,太東,
JR外房線,長者町,
JR外房線,三門,
JR外房線,大原,
JR外房線,浪花,
