line,from,to,trans,min,lat,lng,price,walk_min
JR五日市線,武蔵五日市,東京,1,86,35.732303,139.228337,4.5,2
JR京浜東北線,さいたま新都心,東京,0,33,35.893795,139.633741,11.0,2
JR京浜東北線,与野,東京,0,49,35.8843917,139.6390764,9.1,2
JR京浜東北線,北浦和,東京,0,47,35.872187,139.645713,9.8,2
JR京浜東北線,浦和,東京,0,28,35.872187,139.645713,9.8,2
JR京浜東北線,南浦和,東京,0,40,35.8473849,139.6695734,8.3,2
JR京浜東北線,蕨,東京,0,37,35.8280777,139.6903234,8.1,2
JR京浜東北線,西川口,東京,0,34,35.8155374,139.7043642,8.2,2
JR京浜東北線,川口,東京,0,31,35.8155374,139.7043642,8.2,2
JR京浜東北線,赤羽,東京,0,18,35.7776951,139.7205691,12.0,2
JR京浜東北線,東十条,東京,0,24,35.763949,139.7268722,11.2,2
JR京浜東北線,王子,東京,0,22,35.7529945,139.7378714,10.9,2
JR京浜東北線,上中里,東京,0,20,35.7465785,139.7469573,12.0,2
JR京浜東北線,田端,東京,0,17,35.7381581,139.7608154,11.4,2
JR京浜東北線,西日暮里,東京,0,15,35.7324125,139.7677967,12.0,2
JR京浜東北線,日暮里,東京,0,9,35.7324125,139.7677967,12.0,2
JR京浜東北線,鶯谷,東京,0,11,35.7214573,139.7780133,13.4,2
JR京浜東北線,上野,東京,0,5,35.7141672,139.7774091,15.5,2
JR京浜東北線,御徒町,東京,0,7,35.7075185,139.7748564,16.0,2
JR京浜東北線,秋葉原,東京,0,4,35.698383,139.7730717,17.0,2
JR京浜東北線,神田,東京,0,1,35.6918216,139.7709318,17.7,2
JR京浜東北線,有楽町,東京,0,2,35.6750133,139.7630204,18.7,2
JR京浜東北線,新橋,東京,0,3,35.666379,139.7583398,22.7,2
JR京浜東北線,浜松町,東京,0,6,35.6553809,139.7571289,22.4,2
JR京浜東北線,田町,東京,0,9,35.6457361,139.7475624,19.0,2
JR京浜東北線,高輪ゲートウェイ,東京,0,12,35.6355207,139.7406809,19.4,2
JR京浜東北線,品川,東京,0,8,35.6284713,139.7387597,18.2,2
JR京浜東北線,大井町,東京,0,18,35.6076153,139.7346592,14.5,2
JR京浜東北線,大森,東京,0,20,35.5884467,139.7278683,12.7,2
JR京浜東北線,蒲田,東京,0,24,35.5624794,139.7160731,12.0,2
JR京浜東北線,川崎,東京,0,20,35.5313654,139.696889,10.0,2
JR京浜東北線,鶴見,東京,0,33,35.5080356,139.6762625,9.7,2
JR京浜東北線,新子安,東京,0,37,35.4870546,139.6548105,10.2,2
JR京浜東北線,東神奈川,東京,0,40,35.4779292,139.6333614,11.5,2
JR京浜東北線,横浜,東京,0,30,35.46598110000001,139.622062,12.2,2
JR京浜東北線,桜木町,東京,0,47,35.4509136,139.6310595,12.2,2
JR京浜東北線,関内,東京,0,51,35.4439663,139.6354978,12.3,2
JR京浜東北線,石川町,東京,0,52,35.4387746,139.6430494,11.2,2
JR京浜東北線,山手,東京,0,54,35.42686,139.6463741,9.2,2
JR京浜東北線,根岸,東京,0,57,35.415819,139.6350457,9.0,2
JR京浜東北線,磯子,東京,0,60,35.3998639,139.6179011,8.7,2
JR京浜東北線,新杉田,東京,0,62,35.3867269,139.619549,9.5,2
JR京浜東北線,洋光台,東京,0,66,35.378769,139.597042,7.9,2
JR京浜東北線,港南台,東京,0,68,35.37513,139.576405,7.6,2
JR京浜東北線,本郷台,東京,0,71,35.3674373,139.5502526,7.5,2
JR京浜東北線,大船,東京,0,46,35.3540475,139.5312989,8.5,2
JR京葉線,八丁堀,東京,0,2,35.6746248,139.7768846,17.9,2
JR京葉線,越中島,東京,0,4,35.6679621,139.7926487,15.7,2
JR京葉線,潮見,東京,0,7,35.6587316,139.8174046,12.2,2
