line,price,from,to,trans,min
JR京浜東北線,22.7,新橋,銀座一丁目,0,8
JR京浜東北線,22.4,浜松町,銀座一丁目,1,14
JR京浜東北線,19.0,田町,銀座一丁目,1,16
JR京浜東北線,19.4,高輪ゲートウェイ,銀座一丁目,1,19
JR京浜東北線,18.2,品川,銀座一丁目,1,18
JR京浜東北線,14.5,大井町,銀座一丁目,1,24
JR京浜東北線,12.7,大森,銀座一丁目,1,26
JR京浜東北線,12.0,蒲田,銀座一丁目,1,31
JR京浜東北線,10.0,川崎,銀座一丁目,1,30
JR京浜東北線,9.7,鶴見,銀座一丁目,1,41
JR京浜東北線,10.2,新子安,銀座一丁目,1,45
JR京浜東北線,11.5,東神奈川,銀座一丁目,1,48
JR京浜東北線,12.2,横浜,銀座一丁目,1,39
JR京浜東北線,12.2,桜木町,銀座一丁目,1,55
JR京浜東北線,12.3,関内,銀座一丁目,1,57
JR京浜東北線,11.2,石川町,銀座一丁目,1,59
JR京浜東北線,9.2,山手,銀座一丁目,1,61
JR京浜東北線,9.0,根岸,銀座一丁目,1,64
JR京浜東北線,8.7,磯子,銀座一丁目,1,67
JR京浜東北線,9.5,新杉田,銀座一丁目,1,70
JR京浜東北線,7.9,洋光台,銀座一丁目,1,74
JR京浜東北線,7.6,港南台,銀座一丁目,1,76
JR京浜東北線,7.5,本郷台,銀座一丁目,1,79
JR京浜東北線,8.5,大船,銀座一丁目,1,56
JR京葉線,18.8,東京,銀座一丁目,0,9
JR京葉線,17.9,八丁堀,銀座一丁目,0,12
JR京葉線,15.7,越中島,銀座一丁目,1,20
JR京葉線,12.2,潮見,銀座一丁目,1,17
JR京葉線,12.4,新木場,銀座一丁目,0,11
JR京葉線,8.5,葛西臨海公園,銀座一丁目,1,19
JR京葉線,9.0,舞浜,銀座一丁目,1,22
JR京葉線,9.4,新浦安,銀座一丁目,1,25
JR京葉線,9.0,市川塩浜,銀座一丁目,1,29
JR京葉線,8.3,二俣新町,銀座一丁目,1,33
JR京葉線,8.3,南船橋,銀座一丁目,1,37
JR京葉線,7.0,新習志野,銀座一丁目,1,39
JR京葉線,8.1,海浜幕張,銀座一丁目,1,42
JR京葉線,6.6,検見川浜,銀座一丁目,1,45
JR京葉線,6.9,稲毛海岸,銀座一丁目,1,47
JR京葉線,9.2,千葉みなと,銀座一丁目,1,51
JR京葉線,7.5,蘇我,銀座一丁目,1,55
JR八高線,8.1,八王子,銀座一丁目,1,76
JR八高線,7.2,北八王子,銀座一丁目,2,87
JR八高線,6.2,小宮,銀座一丁目,2,89
JR八高線,6.0,拝島,銀座一丁目,1,80
JR八高線,5.8,東福生,銀座一丁目,2,89
JR八高線,5.3,箱根ケ崎,銀座一丁目,1,130
JR八高線,4.5,金子,銀座一丁目,1,122
