line,from,to,trans,min
JR京葉線,蘇我,宝町,1,61
JR八高線,八王子,宝町,2,80
JR八高線,北八王子,宝町,3,88
JR八高線,小宮,宝町,3,91
JR八高線,拝島,宝町,2,81
JR八高線,東福生,宝町,3,90
JR八高線,箱根ケ崎,宝町,3,95
JR八高線,金子,宝町,3,100
JR八高線,東飯能,宝町,3,106
JR八高線,高麗川,宝町,3,100
JR八高線,毛呂,宝町,3,161
JR八高線,越生,宝町,3,122
JR八高線,明覚,宝町,3,151
JR八高線,小川町,宝町,1,15
JR八高線,竹沢,宝町,3,136
JR八高線,折原,宝町,3,130
JR八高線,寄居,宝町,2,132
JR八高線,用土,宝町,3,119
JR八高線,児玉,宝町,3,110
JR八高線,丹荘,宝町,3,105
JR八高線,群馬藤岡,宝町,3,96
JR八高線,北藤岡,宝町,3,91
JR八高線,倉賀野,宝町,1,133
JR八高線,高崎,宝町,1,138
JR内房線,千葉,宝町,1,55
JR内房線,本千葉,宝町,1,58
JR内房線,蘇我,宝町,1,61
JR内房線,浜野,宝町,1,66
JR内房線,八幡宿,宝町,1,69
JR内房線,五井,宝町,1,73
JR内房線,姉ケ崎,宝町,1,78
JR内房線,袖ケ浦,宝町,1,87
JR内房線,巌根,宝町,2,90
JR内房線,木更津,宝町,1,93
JR内房線,君津,宝町,1,100
JR内房線,青堀,宝町,2,107
JR内房線,大貫,宝町,2,112
JR内房線,佐貫町,宝町,2,116
JR内房線,上総湊,宝町,2,121
JR内房線,竹岡,宝町,2,134
JR内房線,浜金谷,宝町,2,139
JR内房線,安房勝山,宝町,2,147
JR内房線,岩井,宝町,2,150
JR内房線,富浦,宝町,4,459
JR内房線,那古船形,宝町,2,159
JR内房線,館山,宝町,2,164
JR内房線,九重,宝町,2,170
JR内房線,千倉,宝町,2,176
JR内房線,江見,宝町,2,557
JR内房線,太海,宝町,3,556
JR南武線,立川,宝町,1,108
JR南武線,西国立,宝町,1,106
JR南武線,矢川,宝町,1,104
JR南武線,谷保,宝町,1,101
JR南武線,西府,宝町,1,99
JR南武線,分倍河原,宝町,1,97
JR南武線,府中本町,宝町,1,94
JR南武線,南多摩,宝町,1,91
JR南武線,稲城長沼,宝町,1,86
JR南武線,矢野口,宝町,1,84
JR南武線,稲田堤,宝町,1,78
JR南武線,中野島,宝町,1,79
JR南武線,登戸,宝町,1,75
JR南武線,宿河原,宝町,1,73
JR南武線,久地,宝町,1,71
JR南武線,津田山,宝町,1,69
JR南武線,武蔵溝ノ口,宝町,1,62
JR南武線,武蔵新城,宝町,1,64
JR南武線,武蔵中原,宝町,1,61
JR南武線,武蔵小杉,宝町,1,27
JR南武線,向河原,宝町,1,56
JR南武線,平間,宝町,1,54
JR南武線,鹿島田,宝町,1,38
JR南武線,矢向,宝町,1,49
JR南武線,尻手,宝町,1,47
JR南武線,川崎,宝町,0,41
JR埼京線,北与野,宝町,2,65
JR埼京線,与野本町,宝町,2,67
JR埼京線,南与野,宝町,2,58
JR埼京線,中浦和,宝町,2,56
JR埼京線,武蔵浦和,宝町,2,54
JR埼京線,北戸田,宝町,2,50
JR埼京線,戸田公園,宝町,2,46
JR埼京線,浮間舟渡,宝町,2,43
JR埼京線,北赤羽,宝町,2,40
JR埼京線,赤羽,宝町,1,31
JR埼京線,十条,宝町,2,44
JR埼京線,板橋,宝町,1,46
JR埼京線,池袋,宝町,1,42
JR埼京線,新宿,宝町,1,28
JR埼京線,渋谷,宝町,1,25
JR埼京線,恵比寿,宝町,1,24
JR埼京線,大崎,宝町,1,23
JR埼京線,西大井,宝町,1,20
JR埼京線,武蔵小杉,宝町,1,27
JR埼京線,羽沢横浜国大,宝町,1,55
JR外房線,千葉,宝町,1,55
JR外房線,本千葉,宝町,1,58
JR外房線,蘇我,宝町,1,61
JR外房線,鎌取,宝町,1,66
JR外房線,誉田,宝町,1,70
JR外房線,土気,宝町,1,75
JR外房線,大網,宝町,1,80
JR外房線,永田,宝町,1,21
JR外房線,本納,宝町,2,96
JR外房線,新茂原,宝町,2,100
JR外房線,茂原,宝町,1,89
JR外房線,八積,宝町,2,105
JR外房線,上総一ノ宮,宝町,1,97
JR外房線,東浪見,宝町,2,111
JR外房線,太東,宝町,2,115
JR外房線,長者町,宝町,2,130
JR外房線,三門,宝町,2,132
JR外房線,浪花,宝町,2,141
JR外房線,御宿,宝町,2,112
JR外房線,勝浦,宝町,2,118
JR外房線,鵜原,宝町,2,156
JR外房線,上総興津,宝町,2,161
JR外房線,安房小湊,宝町,2,170
JR外房線,安房天津,宝町,2,175
JR宇都宮線,矢板,宝町,3,117
JR宇都宮線,片岡,宝町,3,111
JR宇都宮線,蒲須坂,宝町,3,107
JR宇都宮線,氏家,宝町,3,102
JR宇都宮線,宝積寺,宝町,3,97
JR宇都宮線,宇都宮,宝町,1,139
JR宇都宮線,雀宮,宝町,1,132
JR宇都宮線,石橋,宝町,3,217
JR宇都宮線,自治医大,宝町,1,121
JR宇都宮線,小金井,宝町,1,120
JR宇都宮線,小山,宝町,1,111
JR宇都宮線,間々田,宝町,1,105
JR宇都宮線,野木,宝町,1,101
JR宇都宮線,古河,宝町,1,97
JR宇都宮線,栗橋,宝町,1,90
JR宇都宮線,東鷲宮,宝町,1,85
JR宇都宮線,久喜,宝町,1,81
JR宇都宮線,新白岡,宝町,1,78
JR宇都宮線,白岡,宝町,1,74
JR宇都宮線,蓮田,宝町,1,64
JR宇都宮線,東大宮,宝町,1,65
JR宇都宮線,土呂,宝町,1,62
JR宇都宮線,さいたま新都心,宝町,1,45
JR宇都宮線,浦和,宝町,1,40
JR宇都宮線,赤羽,宝町,1,31
JR宇都宮線,尾久,宝町,1,26
JR宇都宮線,上野,宝町,1,14
JR山手線,大崎,宝町,1,23
JR山手線,五反田,宝町,0,16
JR山手線,目黒,宝町,1,22
JR山手線,恵比寿,宝町,1,24
JR山手線,渋谷,宝町,1,25
JR山手線,原宿,宝町,1,34
JR山手線,代々木,宝町,1,26
JR山手線,新宿,宝町,1,28
JR山手線,新大久保,宝町,1,41
JR山手線,高田馬場,宝町,1,25
JR山手線,目白,宝町,1,45
JR山手線,池袋,宝町,1,42
JR山手線,大塚,宝町,1,39
JR山手線,巣鴨,宝町,1,34
JR山手線,駒込,宝町,1,35
JR山手線,田端,宝町,1,32
JR山手線,西日暮里,宝町,1,30
JR山手線,日暮里,宝町,1,28
JR山手線,鶯谷,宝町,1,26
JR山手線,上野,宝町,1,14
JR山手線,御徒町,宝町,1,17
JR山手線,秋葉原,宝町,1,9
JR山手線,神田,宝町,1,10
JR山手線,東京,宝町,1,13
JR山手線,有楽町,宝町,1,13
JR山手線,新橋,宝町,0,3
JR山手線,浜松町,宝町,0,15
JR山手線,田町,宝町,0,18
JR山手線,高輪ゲートウェイ,宝町,0,19
JR山手線,品川,宝町,0,14
JR川越線,日進,宝町,6,734
JR川越線,西大宮,宝町,2,70
JR川越線,指扇,宝町,2,73
JR川越線,南古谷,宝町,2,78
JR川越線,川越,宝町,2,84
JR川越線,西川越,宝町,3,85
JR川越線,的場,宝町,3,88
JR川越線,笠幡,宝町,3,92
JR川越線,武蔵高萩,宝町,3,96
JR川越線,高麗川,宝町,3,100
JR常磐線,大津港,宝町,3,172
JR常磐線,磯原,宝町,2,157
JR常磐線,南中郷,宝町,3,162
JR常磐線,高萩,宝町,1,176
JR常磐線,十王,宝町,2,197
JR常磐線,小木津,宝町,2,193
JR常磐線,日立,宝町,1,166
JR常磐線,常陸多賀,宝町,1,161
JR常磐線,大甕,宝町,1,157
JR常磐線,東海,宝町,2,93
JR常磐線,佐和,宝町,2,169
JR常磐線,勝田,宝町,1,145
JR常磐線,水戸,宝町,1,139
JR常磐線,赤塚,宝町,2,52
JR常磐線,内原,宝町,2,134
JR常磐線,友部,宝町,1,126
JR常磐線,岩間,宝町,2,124
JR常磐線,羽鳥,宝町,2,120
JR常磐線,石岡,宝町,1,115
JR常磐線,神立,宝町,2,106
JR常磐線,土浦,宝町,1,95
JR常磐線,荒川沖,宝町,1,89
JR常磐線,ひたち野うしく,宝町,1,85
JR常磐線,牛久,宝町,1,81
JR常磐線,藤代,宝町,1,72
JR常磐線,取手,宝町,1,67
JR常磐線,天王台,宝町,1,63
JR常磐線,我孫子,宝町,3,231
JR常磐線,柏,宝町,3,222
JR常磐線,松戸,宝町,1,45
JR常磐線,北千住,宝町,1,25
JR常磐線,南千住,宝町,1,22
JR常磐線,三河島,宝町,1,30
JR常磐線,日暮里,宝町,1,28
JR常磐線,上野,宝町,1,14
JR御殿場線,国府津,宝町,1,81
JR御殿場線,下曽我,宝町,2,94
JR御殿場線,上大井,宝町,2,98
JR御殿場線,相模金子,宝町,2,102
JR御殿場線,松田,宝町,2,81
JR御殿場線,東山北,宝町,2,110
JR御殿場線,山北,宝町,2,114
JR御殿場線,谷峨,宝町,2,122
JR成田線,佐倉,宝町,1,76
JR成田線,酒々井,宝町,1,82
JR成田線,成田,宝町,0,86
JR成田線,久住,宝町,1,99
JR成田線,滑河,宝町,1,106
JR成田線,下総神崎,宝町,1,113
JR成田線,大戸,宝町,1,117
JR成田線,佐原,宝町,1,122
JR成田線,香取,宝町,1,129
JR成田線,水郷,宝町,1,135
JR成田線,小見川,宝町,1,140
JR成田線,笹川,宝町,1,146
JR成田線,下総橘,宝町,1,153
JR成田線,下総豊里,宝町,1,158
JR成田線,椎柴,宝町,1,163
JR成田線,松岸,宝町,1,168
JR成田線,銚子,宝町,1,172
JR東海道線,東京,宝町,1,13
JR東海道線,新橋,宝町,0,3
JR東海道線,品川,宝町,0,14
JR東海道線,川崎,宝町,0,41
JR東海道線,横浜,宝町,0,45
JR東海道線,戸塚,宝町,1,48
JR東海道線,大船,宝町,1,54
JR東海道線,藤沢,宝町,1,54
JR東海道線,辻堂,宝町,1,62
JR東海道線,茅ケ崎,宝町,1,62
JR東海道線,平塚,宝町,1,69
JR東海道線,大磯,宝町,1,78
JR東海道線,二宮,宝町,1,77
JR東海道線,国府津,宝町,1,81
JR東海道線,鴨宮,宝町,1,95
JR東海道線,小田原,宝町,1,57
JR東海道線,早川,宝町,1,104
JR東海道線,根府川,宝町,1,109
JR東海道線,真鶴,宝町,1,114
JR東海道線,湯河原,宝町,1,118
JR東金線,大網,宝町,1,80
JR東金線,福俵,宝町,2,89
JR東金線,東金,宝町,2,92
JR東金線,求名,宝町,2,97
JR東金線,成東,宝町,1,115
JR根岸線,大船,宝町,1,54
JR根岸線,本郷台,宝町,1,77
JR根岸線,港南台,宝町,1,74
JR根岸線,洋光台,宝町,1,72
JR根岸線,新杉田,宝町,1,68
JR根岸線,磯子,宝町,1,65
JR根岸線,根岸,宝町,1,62
JR根岸線,山手,宝町,1,59
JR根岸線,石川町,宝町,1,57
JR根岸線,関内,宝町,1,55
JR根岸線,桜木町,宝町,1,58
JR根岸線,横浜,宝町,0,45
JR横浜線,八王子,宝町,2,80
JR横浜線,片倉,宝町,2,89
JR横浜線,八王子みなみ野,宝町,2,86
JR横浜線,相原,宝町,2,83
JR横浜線,橋本,宝町,1,96
JR横浜線,相模原,宝町,2,76
JR横浜線,矢部,宝町,2,74
JR横浜線,淵野辺,宝町,2,72
JR横浜線,古淵,宝町,2,69
JR横浜線,町田,宝町,1,84
JR横浜線,成瀬,宝町,2,61
JR横浜線,長津田,宝町,1,78
