line,from,to,trans,min
JR京浜東北線,本郷台,霞ケ関,1,83
JR京浜東北線,大船,霞ケ関,1,57
JR京葉線,東京,霞ケ関,0,4
JR京葉線,八丁堀,霞ケ関,0,10
JR京葉線,越中島,霞ケ関,1,18
JR京葉線,潮見,霞ケ関,1,21
JR京葉線,新木場,霞ケ関,1,20
JR京葉線,葛西臨海公園,霞ケ関,1,27
JR京葉線,舞浜,霞ケ関,1,30
JR京葉線,新浦安,霞ケ関,1,34
JR京葉線,市川塩浜,霞ケ関,1,37
JR京葉線,二俣新町,霞ケ関,1,41
JR京葉線,南船橋,霞ケ関,1,44
JR京葉線,新習志野,霞ケ関,1,47
JR京葉線,海浜幕張,霞ケ関,1,49
JR京葉線,検見川浜,霞ケ関,1,52
JR京葉線,稲毛海岸,霞ケ関,1,54
JR京葉線,千葉みなと,霞ケ関,1,58
JR京葉線,蘇我,霞ケ関,1,60
JR八高線,八王子,霞ケ関,1,68
JR八高線,北八王子,霞ケ関,2,74
JR八高線,小宮,霞ケ関,2,81
JR八高線,拝島,霞ケ関,1,70
JR八高線,東福生,霞ケ関,2,79
JR八高線,箱根ケ崎,霞ケ関,2,83
JR八高線,金子,霞ケ関,2,88
JR八高線,東飯能,霞ケ関,2,85
JR八高線,高麗川,霞ケ関,2,91
JR八高線,毛呂,霞ケ関,2,136
JR八高線,越生,霞ケ関,2,100
JR八高線,明覚,霞ケ関,2,126
JR八高線,小川町,霞ケ関,0,12
JR八高線,竹沢,霞ケ関,2,125
JR八高線,折原,霞ケ関,2,130
JR八高線,寄居,霞ケ関,2,107
JR八高線,用土,霞ケ関,2,120
JR八高線,児玉,霞ケ関,2,111
JR八高線,丹荘,霞ケ関,2,106
JR八高線,群馬藤岡,霞ケ関,2,97
JR八高線,北藤岡,霞ケ関,2,92
JR八高線,倉賀野,霞ケ関,1,132
JR八高線,高崎,霞ケ関,1,72
JR内房線,千葉,霞ケ関,1,55
JR内房線,本千葉,霞ケ関,1,57
JR内房線,蘇我,霞ケ関,1,60
JR内房線,浜野,霞ケ関,1,69
JR内房線,八幡宿,霞ケ関,1,71
JR内房線,五井,霞ケ関,1,75
JR内房線,姉ケ崎,霞ケ関,1,80
JR内房線,袖ケ浦,霞ケ関,1,89
JR内房線,巌根,霞ケ関,1,92
JR内房線,木更津,霞ケ関,1,96
JR内房線,君津,霞ケ関,1,100
JR内房線,青堀,霞ケ関,1,108
JR内房線,大貫,霞ケ関,1,113
JR内房線,佐貫町,霞ケ関,1,117
JR内房線,上総湊,霞ケ関,1,122
JR内房線,竹岡,霞ケ関,2,123
JR内房線,浜金谷,霞ケ関,2,128
JR内房線,安房勝山,霞ケ関,2,136
JR内房線,岩井,霞ケ関,2,139
JR内房線,富浦,霞ケ関,3,460
JR内房線,那古船形,霞ケ関,2,148
JR内房線,館山,霞ケ関,2,153
JR内房線,九重,霞ケ関,2,159
JR内房線,千倉,霞ケ関,2,165
JR内房線,江見,霞ケ関,3,461
JR内房線,太海,霞ケ関,3,585
JR南武線,立川,霞ケ関,1,56
JR南武線,西国立,霞ケ関,1,67
JR南武線,矢川,霞ケ関,1,65
JR南武線,谷保,霞ケ関,1,63
JR南武線,西府,霞ケ関,1,60
JR南武線,分倍河原,霞ケ関,1,63
JR南武線,府中本町,霞ケ関,1,56
JR南武線,南多摩,霞ケ関,1,53
JR南武線,稲城長沼,霞ケ関,1,51
JR南武線,矢野口,霞ケ関,1,48
JR南武線,稲田堤,霞ケ関,1,46
JR南武線,中野島,霞ケ関,1,44
JR南武線,登戸,霞ケ関,0,32
JR南武線,宿河原,霞ケ関,1,39
JR南武線,久地,霞ケ関,1,41
JR南武線,津田山,霞ケ関,1,43
JR南武線,武蔵溝ノ口,霞ケ関,1,40
JR南武線,武蔵新城,霞ケ関,1,48
JR南武線,武蔵中原,霞ケ関,1,50
JR南武線,武蔵小杉,霞ケ関,1,30
JR南武線,向河原,霞ケ関,2,40
JR南武線,平間,霞ケ関,2,42
JR南武線,鹿島田,霞ケ関,1,42
JR南武線,矢向,霞ケ関,2,40
JR南武線,尻手,霞ケ関,2,38
JR南武線,川崎,霞ケ関,1,31
JR埼京線,北与野,霞ケ関,1,62
JR埼京線,与野本町,霞ケ関,1,60
JR埼京線,南与野,霞ケ関,1,62
JR埼京線,中浦和,霞ケ関,1,60
JR埼京線,武蔵浦和,霞ケ関,1,48
JR埼京線,北戸田,霞ケ関,1,50
JR埼京線,戸田公園,霞ケ関,1,45
JR埼京線,浮間舟渡,霞ケ関,1,42
JR埼京線,北赤羽,霞ケ関,1,40
JR埼京線,赤羽,霞ケ関,1,31
JR埼京線,十条,霞ケ関,1,34
JR埼京線,板橋,霞ケ関,1,31
JR埼京線,池袋,霞ケ関,0,23
JR埼京線,新宿,霞ケ関,0,19
JR埼京線,渋谷,霞ケ関,1,12
JR埼京線,恵比寿,霞ケ関,0,13
JR埼京線,大崎,霞ケ関,1,23
JR埼京線,西大井,霞ケ関,1,25
JR埼京線,武蔵小杉,霞ケ関,1,30
JR埼京線,羽沢横浜国大,霞ケ関,1,49
JR外房線,千葉,霞ケ関,1,55
JR外房線,本千葉,霞ケ関,1,57
JR外房線,蘇我,霞ケ関,1,60
JR外房線,鎌取,霞ケ関,1,65
JR外房線,誉田,霞ケ関,1,69
JR外房線,土気,霞ケ関,1,71
JR外房線,大網,霞ケ関,1,79
JR外房線,永田,霞ケ関,0,8
JR外房線,本納,霞ケ関,1,103
JR外房線,新茂原,霞ケ関,1,107
JR外房線,茂原,霞ケ関,1,84
JR外房線,八積,霞ケ関,1,114
JR外房線,上総一ノ宮,霞ケ関,1,91
JR外房線,東浪見,霞ケ関,2,113
JR外房線,太東,霞ケ関,2,117
JR外房線,長者町,霞ケ関,2,120
JR外房線,三門,霞ケ関,2,122
JR外房線,浪花,霞ケ関,2,131
JR外房線,御宿,霞ケ関,1,110
JR外房線,勝浦,霞ケ関,1,116
JR外房線,鵜原,霞ケ関,2,146
JR外房線,上総興津,霞ケ関,2,151
JR外房線,安房小湊,霞ケ関,2,160
JR外房線,安房天津,霞ケ関,2,165
JR宇都宮線,矢板,霞ケ関,2,119
JR宇都宮線,片岡,霞ケ関,2,113
JR宇都宮線,蒲須坂,霞ケ関,2,109
JR宇都宮線,氏家,霞ケ関,2,104
JR宇都宮線,宝積寺,霞ケ関,2,99
JR宇都宮線,宇都宮,霞ケ関,1,78
JR宇都宮線,雀宮,霞ケ関,1,134
JR宇都宮線,石橋,霞ケ関,3,225
JR宇都宮線,自治医大,霞ケ関,1,124
JR宇都宮線,小金井,霞ケ関,1,118
JR宇都宮線,小山,霞ケ関,1,67
JR宇都宮線,間々田,霞ケ関,1,103
JR宇都宮線,野木,霞ケ関,1,99
JR宇都宮線,古河,霞ケ関,1,95
JR宇都宮線,栗橋,霞ケ関,1,88
JR宇都宮線,東鷲宮,霞ケ関,1,83
JR宇都宮線,久喜,霞ケ関,1,79
JR宇都宮線,新白岡,霞ケ関,1,76
JR宇都宮線,白岡,霞ケ関,1,72
JR宇都宮線,蓮田,霞ケ関,1,67
JR宇都宮線,東大宮,霞ケ関,1,63
JR宇都宮線,土呂,霞ケ関,1,60
JR宇都宮線,さいたま新都心,霞ケ関,1,45
JR宇都宮線,浦和,霞ケ関,1,41
JR宇都宮線,赤羽,霞ケ関,1,31
JR宇都宮線,尾久,霞ケ関,1,26
JR宇都宮線,上野,霞ケ関,0,23
JR山手線,大崎,霞ケ関,1,23
JR山手線,五反田,霞ケ関,1,22
JR山手線,目黒,霞ケ関,1,21
JR山手線,恵比寿,霞ケ関,0,13
JR山手線,渋谷,霞ケ関,1,12
JR山手線,原宿,霞ケ関,0,14
JR山手線,代々木,霞ケ関,1,16
JR山手線,新宿,霞ケ関,0,19
JR山手線,新大久保,霞ケ関,1,26
JR山手線,高田馬場,霞ケ関,1,27
JR山手線,目白,霞ケ関,1,30
JR山手線,池袋,霞ケ関,0,23
JR山手線,大塚,霞ケ関,1,30
JR山手線,巣鴨,霞ケ関,1,24
JR山手線,駒込,霞ケ関,1,25
JR山手線,田端,霞ケ関,1,23
JR山手線,西日暮里,霞ケ関,0,18
JR山手線,日暮里,霞ケ関,1,23
JR山手線,鶯谷,霞ケ関,1,22
JR山手線,上野,霞ケ関,0,23
JR山手線,御徒町,霞ケ関,0,26
JR山手線,秋葉原,霞ケ関,0,19
JR山手線,神田,霞ケ関,1,13
JR山手線,東京,霞ケ関,0,4
JR山手線,有楽町,霞ケ関,0,8
JR山手線,新橋,霞ケ関,1,10
JR山手線,浜松町,霞ケ関,1,17
JR山手線,田町,霞ケ関,1,19
JR山手線,高輪ゲートウェイ,霞ケ関,1,22
JR山手線,品川,霞ケ関,1,20
JR川越線,日進,霞ケ関,5,735
JR川越線,西大宮,霞ケ関,1,61
JR川越線,指扇,霞ケ関,1,64
JR川越線,南古谷,霞ケ関,1,69
JR川越線,川越,霞ケ関,1,65
JR川越線,西川越,霞ケ関,2,76
JR川越線,的場,霞ケ関,2,79
JR川越線,笠幡,霞ケ関,2,82
JR川越線,武蔵高萩,霞ケ関,2,86
JR川越線,高麗川,霞ケ関,2,91
JR常磐線,大津港,霞ケ関,2,168
JR常磐線,磯原,霞ケ関,1,153
JR常磐線,南中郷,霞ケ関,2,158
JR常磐線,高萩,霞ケ関,1,147
JR常磐線,十王,霞ケ関,2,149
JR常磐線,小木津,霞ケ関,2,145
JR常磐線,日立,霞ケ関,1,136
JR常磐線,常陸多賀,霞ケ関,1,132
JR常磐線,大甕,霞ケ関,1,135
JR常磐線,東海,霞ケ関,1,83
JR常磐線,佐和,霞ケ関,2,135
JR常磐線,勝田,霞ケ関,1,118
JR常磐線,水戸,霞ケ関,1,112
JR常磐線,赤塚,霞ケ関,1,37
JR常磐線,内原,霞ケ関,1,136
JR常磐線,友部,霞ケ関,1,104
JR常磐線,岩間,霞ケ関,1,126
JR常磐線,羽鳥,霞ケ関,1,122
JR常磐線,石岡,霞ケ関,1,93
JR常磐線,神立,霞ケ関,1,108
JR常磐線,土浦,霞ケ関,1,82
JR常磐線,荒川沖,霞ケ関,1,82
JR常磐線,ひたち野うしく,霞ケ関,1,78
JR常磐線,牛久,霞ケ関,1,74
JR常磐線,藤代,霞ケ関,1,64
JR常磐線,取手,霞ケ関,0,69
JR常磐線,天王台,霞ケ関,0,65
JR常磐線,我孫子,霞ケ関,3,515
JR常磐線,柏,霞ケ関,3,240
JR常磐線,松戸,霞ケ関,0,39
JR常磐線,北千住,霞ケ関,0,25
JR常磐線,南千住,霞ケ関,0,31
JR常磐線,三河島,霞ケ関,1,29
JR常磐線,日暮里,霞ケ関,1,23
JR常磐線,上野,霞ケ関,0,23
JR御殿場線,国府津,霞ケ関,1,87
JR御殿場線,下曽我,霞ケ関,2,100
JR御殿場線,上大井,霞ケ関,2,104
JR御殿場線,相模金子,霞ケ関,2,108
JR御殿場線,松田,霞ケ関,1,104
JR御殿場線,東山北,霞ケ関,2,112
JR御殿場線,山北,霞ケ関,2,116
JR御殿場線,谷峨,霞ケ関,2,124
JR成田線,佐倉,霞ケ関,1,74
JR成田線,酒々井,霞ケ関,1,80
JR成田線,成田,霞ケ関,1,96
JR成田線,久住,霞ケ関,1,103
JR成田線,滑河,霞ケ関,1,110
JR成田線,下総神崎,霞ケ関,1,116
JR成田線,大戸,霞ケ関,1,121
JR成田線,佐原,霞ケ関,1,125
JR成田線,香取,霞ケ関,1,130
JR成田線,水郷,霞ケ関,2,133
JR成田線,小見川,霞ケ関,2,138
JR成田線,笹川,霞ケ関,2,144
JR成田線,下総橘,霞ケ関,2,152
JR成田線,下総豊里,霞ケ関,2,156
JR成田線,椎柴,霞ケ関,2,161
JR成田線,松岸,霞ケ関,2,151
JR成田線,銚子,霞ケ関,2,155
JR東海道線,東京,霞ケ関,0,4
JR東海道線,新橋,霞ケ関,1,10
JR東海道線,品川,霞ケ関,1,20
